questions,true_answers,model_answers,scores
"故障现象：某配套FANUC6M的立式加工中心，在加工过程中，车间突然断电，恢复供电后，无法重新起动机床。
","分析及处理过程经检查，该机床电源输入单元的电源指示（PIL）与报警（ALM）灯同

时亮，表明电源模块存在故障。检查电源模块输入熔断器F11、F12熔断，测量电源输入存在短路。
故障分析过程同例31，对照原理图检查各元器件，确认VS11、NF11、DS11均正常，因此判定故障发生在开关电源的一次侧驱动部分。
断开SH11后，测量驱动输出Q14、Q15、D24、D25，发现Q14的CE极短路，更换Q14
（2SC3046）后，短路消失，开机后机床恢复正常。例34.续流二极管不良引起的故障维修
",分析及处理过程：检查CRT，发现CRT上有6133报警号显示，结合系统起动检查，判定系统仍处于“就绪”状态，但不能起动执行零件加工程序。依据维修手册及CRT上显示的报警号，分析该报警可能是因为起动时序不正确等原因引起的，观察系统，系统中的“轴控制选择”开关在“模拟”挡位置，重新起动系统使之复位无效，即经系统复位键命令系统复位无效。考虑到系统断电的瞬间，伺服系统也有可能受到不良影响，为此关机后，重新断开系统和伺服电源，认真检查伺服系统的有关端子，没有发现异常现象。当检查系统中“轴控制选择”开关时，发现此开关在“模拟”挡位置，此为机床首次使用时设置的系统参数，因该加工中心的进给轴伺服为全数字式交流伺服，无模拟量标准信号输出，所以由此出现6133报警号。重新设定此参数为数字伺服控制后，系统起动正常，故障消除。,该例按评分标准3进行评分：检查评分标准，标准回答中的故障原因有熔断器F11、F12熔断，电源输入存在短路，VS11、NF11、DS11均正常，Q14的CE极短路，而模型回答中并没有提到这些故障原因，因此未得到基础分5分，评分结束，则得0分，不再往下检查标准，输出得分：0分。
"故障现象：一台配置SIEMENS6M系统的进口立式加工中心，机床到厂后第一次开机，发现系统的电源无法正常接通。
","分析及处理过程系统同上倒，根据输入单元的原理图分析测量，确认故障原因为输入单元的ON/OFF控制电路的外部触点COM–EOF开路。对照机床电气控制原理图分析、检查，发现COM–EOF触点闭合条件中包括了PLC（SS–1303B）的输出信号，作为系统起动的互锁条件，由于此信号无输出，引起了触点的断开。
进一步检查PLC，发现该PLC中的运行开关在出厂时被置于“STOP”位，整个PLC未正常运行，根据PLC的说明，通过以下步骤重新启动PLC：
1）按住PLC的“Restart”键并保持，将PLC的运行开关拨至“RUN”位，PLC的“RUN”、“STOP”灯同时亮；
2）在不松开“Restart”键的前提下，等待PLC的指示灯“RUN”灭，“STOP”亮；
3）松开“Restwt”键，再次将PLC的运行开关拨至“STOP”，然后再拨至“RUN”；
4）PLC的“RUN”、“STOP”再次同时亮，等待数秒后，再次变成只有“STOP”亮；
5）第三次将PLC运行开关拨至‘STOP”，然后再拨至“RUN”；
6）PLC的“RUN”、“STOP”第三次同时亮，等待数秒后，PLC上的“STOP”灯灭，“RU’N”灯亮，PLC完成重新启动过程。
通过以上操作，PLC开始运行，互锁触点开始闭合，开机后，机床可以正常工作。例10.PLC互镇引起的故障维修
",维修过程：首先询问机床安装人员，确认在安装过程中，对电源无任何要求，确认无相序控制；然后仔细观察，发现电源模块的AC输入保险有爆裂现象，确认故障。,该例按评分标准3进行评分：检查评分标准，标准回答中的故障原因有输入单元的ON/OFF控制电路的外部触点COM–EOF开路，PLC（SS–1303B）的输出信号无输出。而模型回答中并没有提到这些故障原因，因此未得到基础分5分，评分结束，因此得0分。
"故障现象：某配套YASKA)J50M的加工中心，在机床加工时，发现用户宏程序加工指令G65/G66/G67无效。
",分析及处理过程：由于机床其他功能正常，G65/G66/G67在YASKA)AJ50M系统中为选择功能，初步判定故障是由于系统选择功能未生效引起的。设定系统参数#6041bit6＝1、#604lbit7＝1，开放用户宏程序加工指令G65/G66/G67的选择功能，则机床指令执行正常，故障排除。,"故障分析：经过询问，该机床在DOS操作环境下，用户宏程序G65/G66/G67加工指令功能正常。而在Windows98操作环境下，加工时发现G65/G66/G67功能始终无效。检查Windows98环境参数设定正确，没有发现干扰的报警，检查系统内部通道没有发现故障，怀疑为CNC软件异常。
维修过程：重新刷写系统存储器，更换CNC系统，经过维修，机床恢复正常工作。",该例按评分标准3进行评分：检查评分标准，标准回答中的故障原因是系统选择功能未生效，而模型回答中的第一个故障原因是怀疑为CNC软件异常，二者没有直接关联性，所以按评分标准，模型回答中没有故障原因能和标准回答中出现的某个故障现象产生的原因有一定关联性，则得不到基础分5分，评分结束，输出得分：0分。
"故障现象：一台配套FANUC16B系统、a伺服驱动的进口立式加工中心，在机床自
动加工时，偶尔出现ALM41（4X数字伺服）报警，重新开机后，机床故障即可消失。
","分析及处理过程：FANUC16B系统出现ALM4ll报警的含义同前述，通过诊断参数确认，故障原因是X轴编码器连接不良。由于故障偶尔出现，分析最大可能的原因是X轴编码器连接不良。
通过对X轴伺服电动机编码器的检查，发现其插头松动，重新固定后，故障排除，机床恢复正常工作。","分析及处理过程：由于该现象偶尔发生，因而在开始时未引起注意。但随着机床使用时间的增加，该故障发生的频率有所增加。由于机床加工的工件是小批量生产，产品精度要求不高，因而一直未进行检查维修。
一次机床加工过程中出现故障报警后，立即查该加工程序，发现该加工程序长度较短，循环时间较短，故使机床空闲时间增多，空闲过程中，由于风扇吹动等其它原因，使机床环境变化较大，因此引起故障。
经检查发现a系列主轴放大器、电机电缆连接插头X4处的CH7电缆虚焊引起。
维修中应注意，在此类报警中，也有其他故障原因的存在，如控制电缆CH1、CH4虚焊引起的报警现象与本故障一样，维修时应区别对待。",该例按评分标准3进行评分：检查评分标准，标准回答中的故障原因有X轴编码器连接不良，X轴伺服电动机编码器的插头松动。而模型回答中的第四个原因：a系列主轴放大器、电机电缆连接插头X4处的CH7电缆虚焊引起了该故障，与标准答案中的X轴编码器连接不良这一故障原因有关联，因为虽然模型回答虽然没有明确指出编码器的问题，但是却提到了X4处的CH7电缆虚焊，而我们知道编码器连接不良的原因有很多，其中一种就是电缆虚焊，因此可以认为这是一种关联性，因此按评分标准，模型回答中的某1条故障原因能和标准回答中出现的某个故障现象产生的原因有一定关联性的条件，则先得到基础分5分；继续检查发现模型回答的第二个原因中提到了控制电缆CH1、CH4虚焊引起的报警现象与本故障一样，这与标准问答中的X轴编码器连接不良也有关系，因为虽然编码器连接不良的具体部件不同，但是二者都提到了是编码器连接不良这一部分发生故障，从更大范围来说二者的说法具有一定关联性，因此按评分标准，模型回答中还有1个故障原因与标准问答某个故障现象产生的原因有关联，所以需要在基础分上加1分，通过加分运算5+1=6。继续检查，没有发现还有其他能关联的故障原因，所以不再继续加分，最终通过评分标准后检查得分为6分，评分结束，不再往下检查标准，输出得分：6分。
"故障现象：一台使用FAGOR8025系统、FAGOR伺服驱动的立式加工中心，在第一次调试时，出现X轴位置测量系统错误报警。
","分析及处理过程：由于本机床的报警含义明确，出现报警的可能原因是伺服电动机内装式编码器不良或编码器连接电缆不良。
检查编码器连接电缆正确，初步确定故障是由于编码器引起的。
为了确认故障原因，维修时利用同规格的伺服电动机进行了替代试验，确认故障是由于内装式编码器不良引起的。
考虑到伺服电动机为第一次使用，为了找到故障的根本原因，维修时拆下了编码器进行仔细检查，最终发现该编码器的内部连接线与插座对应脚的Ua1与Ua0线接反；交换连接后，机床恢复正常。",分析及处理过程：检查发现X轴原位和反向偏差很大，而系统所配的光栅尺为新购置的定长光栅尺，无任何问题。检查X轴运动时发现，当驱动力作用时，工作台和光栅尺不一起运动，仔细观察后发现在工作台面上有较多的切屑，当运动时这些切屑使工作台面与光栅尺产生相对运动，因此造成测量错误。清除切屑后，测量一切正常，调试工作在继续。,该例按评分标准3进行评分：检查评分标准，标准回答中的故障原因有伺服电动机内装式编码器不良，编码器连接电缆不良。而模型回答中的故障原因是光栅尺有切屑，光栅尺测量错误。很显然，模型回答中的故障原因和标准回答中的故障原因完全不同，无法找到一定关联性，因此模型回答无法得到基础分5分，所以输出得分：0分。
"故障现象：某配套FANUCPMD的数控车床，在工作过程中，发现加工工件的
X向尺寸出现无规律的变化。
","分析及处理过程：数控机床的加工尺寸不稳定通常与机械传动系统的安装、连接与精度，以及伺服进给系统的设定与调整有关。在本机床上刺用百分表仔细测量X轴的定位精度，发现丝杠每移动一个螺距，X向的实际尺寸总是要增加几十微米，而且此误差不断积累。
根据以上现象分析，故障原因似乎与系统的“齿轮比”、参考计数器容量、编码器脉冲数等参数的设定有关，但经检查，以上参数的设定均正确无误，排除了参数设定不当引起故障的原因。
为了进一步判定故障部位，维修时拆下X轴伺服电动机，并在电动机轴端通过划线作上标记，利用手动增量进给方式移动X轴，检查发现X轴每次增量移动一个螺距时，电动机轴转动均大于360°。同时，在以上检测过程中发现伺服电动机每次转动到某一固定的角度上时，均出现“突跳”现象，且在无“突跳”区域。运动距离与电动机轴转过的角度基本相符（无法精确测量，依靠观察确定）。
根据以上试验可以判定故障是由于X轴的位置检测系统不良引起的，考虑到“突跳”仅在某一固定的角度产生，且在无“突跳”区域，运动距离与电动机轴转过的角度基本相符。因此，可以进一步确认故障与测量系统的电缆连接、系统的接口电路无关，原因是编码器本身的不良。
通过更换编码器试验，确认故障是由于编码器不良引起的，更换编码器后，’机床恢复正常。","分析及处理过程：检查发现主轴电机无异常，Y轴丝杠无异常，X轴电机及编码器也无异常。考虑到故障是无规律的工作，经过仔细观察发现程序中参数写错，将直径写成半径，故尺寸出现无规律变化。
",该例按评分标准3进行评分：检查评分标准，标准回答中的故障原因是编码器不良，而模型回答中的原因是有参数写错，将直径写成半径，但二者并没有关联性，因此模型回答未得到基础分5分，评分结束，输出得分：0分。
"故障现象：采用FANUC–OM数控系统的立式加工中心，在加工过程中，出现
ALM414报警，a伺服驱动器显示报警“8”。
","分析及处理过程：该机床采用的是FANUCa系列数字伺服驱动系统，对照本书5.2.2节内容可知，系统ALM414报警的含义为“X轴的数字伺服系统错误”。a驱动器显示“8”，表示L轴（在机床上沟X轴）过电流。
根据报警显示内容，通过机床自诊断功能，检查诊断参数DGN720，发现其第4位为“1”，即X轴出现过电流（HCAL）报警。
根据第5章所述，FANUC数字伺服X轴产生HCAL报警的原因主要有：
l）X轴伺服电动机的电枢线产生错误。

2）伺服驱动器内部的晶体管模块损坏。
3）X轴伺服电动机绕组内部短路。
4）伺服驱动器的主板PCB损坏。
根据故障情况，由于发生故障前机床可以正常工作，故基本可以排除X轴伺服电动机联接错误的可能性。
测量X轴伺服电动机的电枢绕组，发现三相绕组电阻相同，阻值在正常的范围，故可以排除电动机绕组内部短路的原因。
检查伺服驱动器内部的晶体管模块，用万用表测得电源输入端的相间电阻只有
6*，远低于正常值。因此，可以初步判定驱动器内部晶体管模块损坏。
经仔细检查确认晶体管模块已经损坏；更换一晶体管模块后。故障排除。",故障分析与处理：根据FANUC–OM系统使用说明书，ALM414报警的含义是“由于位置反馈电缆连接不良，引起反馈脉冲错误”；根据a 控制说明书，报警“8”的含义是“位置反馈电缆连接不良或位置编码器不良”。根据以上信息，经检查发现，为位置反馈电缆屏蔽线虚焊引起。解决方法是清除虚焊点，并重新对连线进行屏蔽处理。,该例按评分标准3进行评分：检查评分标准，标准回答中的故障原因有X轴伺服电动机的电枢线产生错误，伺服驱动器内部的晶体管模块损坏，X轴伺服电动机绕组内部短路，伺服驱动器的主板PCB损坏。而模型回答中的故障原因有位置反馈电缆连接不良，位置编码器不良。位置反馈电缆屏蔽线虚焊。模型回答未提及标准回答中的故障原因，标准回答也未提及模型回答中的故障原因，由此可知二者不存在关联性，因此按评分标准，模型回答中的故障原因与标准回答中出现的某个故障现象产生的原因没有任何关联性的条件，则得0分。最终通过评分标准后检查得分为0分，评分结束，不再往下检查标准，输出得分：0分。
"故障现象：某配套TNC355的数控铣床，在机床加工零件时，发现X轴加工尺寸不合
格。
","分析及处理过程：经多次测量与仔细分析，发现该机床X轴尺寸呈现有规律的变
化，即：从机床参考点起，X轴每增加10mm，实际尺寸总是减少0.01mm。
机床坐标轴出现定位误差的原因很多，可能是机械部分的原因，亦可能是系统的原因。对于有规律的变化，通常引起故障的原因比较容易诊断，在机械上一般与丝杠的预拉伸不合理，丝杠螺距加工的误差等因素有关；在系统上与编码器脉冲数、传动齿轮比、参考计数器容量等参数的设定有关。
为了尽快判定故障部位，维修时首先对电动机的转角进行了观察，经观察发现，X轴伺服电动机确实存在每转角度误差，且其误差情况与X轴实际位置误差相一致，由此确认其故障是由机床电气控制系统引起的。
仔细检查系统参数设定，发现TNC355系统具有坐标轴线性误差补偿功能，通过参数设定，它可以按比例修正坐标轴的实际运动量，以补偿机床机械传动部分的误差，当此值设定错误时，将引起以上故障。重新修改参数后，","故障分析与维修：检查TNC355的设定值与参数，发现有以下三个可疑因素：
(1)工作台移位时返回参考点的方式不正确：用栅格方式代替常规的返回参考点方式。
(2)系统参数442=ON，说明栅格方式可能出错。
(3)系统参考计数器显示正值，正常情况应为零。
根据以上情况，将系统参数重新设置如下，使故障排除。
(1)将工作台返回参考点的方式重新设置，设定系统参数如下：
420=0
422.4=0
449=0.0001
443.2=0.0002
(2)将栅格方式重新设置，设定系统参数如下：
442=OFF
438=3
439=ON
441.3=ON",该例按评分标准3进行评分：经过对标准，模型问答，标准问答的分析后，你应该有如下输出：检查评分标准，标准回答中的故障原因有丝杠的预拉伸不合理，丝杠螺距加工的误差，编码器脉冲数、传动齿轮比、参考计数器容量等参数的设定有关。而模型回答中的第一个原因：工作台移位时返回参考点的方式不正确，提及了参考点，与标准答案中的从机床参考点起，X轴每增加10mm，实际尺寸总是减少0.01mm有关联，因为模型回答虽未提及具体的参考点错误方式，但也未随便给出一个和标准回答不同的错误参考点方式，而且从故障范围来看，前者的范围包含了后者，由此可知二者存在关联性，因此按评分标准，模型回答中的某1条故障原因能和标准回答中出现的某个故障现象产生的原因有一定关联性的条件，则先得到基础分5分；继续检查发现模型回答的第二个原因中提到了栅格方式可能出错，标准问答中虽然没有明确提到栅格方式，但是二者都提到了是系统参数设定问题，从更大范围来说二者的说法具有一定关联性，因此按评分标准，模型回答中还有1个故障原因与标准问答某个故障现象产生的原因有关联，所以需要在基础分上加1分，通过加分运算5+1=6。继续检查，没有发现还有其他能关联的故障原因，所以不再继续加分，最终通过评分标准后检查得分为6分，评分结束，不再往下检查标准，输出得分：6分。
"故障现象：某配套FANUCOMC的数控铣床，在加工过程中突然断电，再开机时，系统电源无法正常接通。
","分析及处理过程经检查，图4–5中的熔断器F11、F12已熔断；通过测量，R、S间无短路，证明浪涌电压吸收器VS11以及辅助电源控制模块M11无故障。但200R、200S间存在短路现象，表明故障是由于NF1、DS1或外部200R、200S间的短路引起的。
为了判别短路部位是在电源单元内部或外部，当时拔下了插头CP2，断开了200R、200S与外部的连接。通过检查发现短路消失，确认AC200V短路是由于外部200R、200S路引起的。进一步检查200R、200S上的各元器件，最终找到故障原因是由伺服主接触器发生短路引起的，更换接触器及F11、F12后，故障排除，机床恢复正常。","分析及处理过程：根据用户提供的故障现象，检查发现断路器QF2、QF3跳闸，复位后QF3又直接跳闸。分析故障为输入交流电压过低导致QF3中的热脱扣器动作。
检查QF3上游的交流输入电压为376V，远低于正常的交流220V。测得QF3下游的交流电压为交流132V。因电路中的交流熔断器F1、F2完好，怀疑为变压器TR1内部存在匝间短路。检查发现TR1副边绕组中C、D虚焊，导致交流短路。测量交流电压正常后，QF3合闸，系统电源接通，故障排除。",该例按评分标准3进行评分：检查评分标准，标准回答中的故障原因有熔断器F11、F12已熔断，200R、200S间存在短路现象，伺服主接触器发生短路。而模型回答中的故障原因是断路器QF2、QF3跳闸，变压器TR1内部存在匝间短路，虚焊导致交流短路。经过对比分析，模型回答中的故障原因并没有与标准回答中的故障原因有关联，因此模型回答得分为0分。
故障现象：某配套FANUC6M的卧式加工中心，在回参考点时发生ALM091报警。,"分析及处理过程：FANUC6M发生“ALM091”的含义是“脉冲编码器同步出错”，在
FANUC6M中可能的原因有以下两个方面：
1）编码器“零脉冲”不良。
2）回参考点时位置跟随误差值小于128?m。
维修时对回参考点的跟随误差（诊断参数DGN800）进行了检查，检查发现此值为
200?m左右，达到了规定的值。进一步检查该机床的位置环增益为16.67S–1回参考点速度设置为200mm/min，属于正常范围，因此初步排除了参数设定的原因。可能的原因是脉冲编码器“零脉冲”不良。
经测量，在电动机侧，编码器电源（+5V电压）只有+4.5V左右，但伺服单元上的+5V电压正确。因此，可能的原因是线路压降过大而导致的编码器电压过低。进一步检查发现，编码器连接电缆的+5V电源线中只有一根可靠连接，其余3根虚焊脱落；经重新连接后，机床恢复正常。",ALM091报警号表示在编码器或电缆上存在不良，这与前述的ALM019含义相仿，只是出现ALM091报警时，往往是系统软件也同时出现故障，故在硬件正常时，常常为莫名其妙的偶然故障，解决起来比较困难。,该例按评分标准3进行评分：检查评分标准，标准回答中的故障原因有编码器“零脉冲”不良，回参考点时位置跟随误差值小于128?m。而模型回答中的故障原因有编码器或电缆上存在不良，这与前述的ALM019含义相仿，只是出现ALM091报警时，往往是系统软件也同时出现故障，故在硬件正常时，常常为莫名其妙的偶然故障，解决起来比较困难。虽然模型回答没有直接提到标准答案中的故障原因，但是从模型回答中我们可以看出，ALM091报警通常与编码器或电缆的故障有关，这与标准答案中提到的编码器“零脉冲”不良和回参考点时位置跟随误差值小于128?m的原因是相关的。因此，按照评分标准，模型回答中的某1条故障原因能和标准回答中出现的某个故障现象产生的原因有一定关联性，则先得到基础分5分；但是，模型回答没有提到标准答案中的其他故障原因，因此不能再加分。最终通过评分标准后检查得分为5分，评分结束，不再往下检查标准，输出得分：5分。
