questions,answers
"故障现象：一台配套FANUC–6M系统的立式加工中心，在加工过程中突然停电，再次开机后，系统电源无法正常接通。
","分析及处理过程对照以上原理图，检查机床电源输入单元，发现发光二极管PIL不亮，检查熔断器F1、FZ已经熔断。通过测量，确认该机床的200A/200B间存在短路。
为了迅速判定故障部位，维修时断开了端子TP3的200A/200B的连接，再次测量发现短路现象依然存在，因此判定故障存在于输入单元内部。
对照原理图4–1，首先测量F1、F2的输出端U1、V1，确认无短路；因此，故障范围被缩小到SK1、SK2、LC2上。逐一检查以上冬元器件，最终确认故障是由于RC吸收器SK1短路引起的。取下SK1，并更换同规格（0.1?F/200*）RC吸收器后，故障排除，机床恢复正常工作。"
"故障现象：某配套FANUCOT–Mate–E的数控车床，开机时，系统电源无法正常接
通。
","分析及处理过程经检查发现输入单元的发光二极管PIL灯亮，但按下系统电源起
动按钮，伺服主回路未接通。测量发现图中MDI/CRT单元上的电源切断OFF与COM间断开，但操作面板上的CNCOFF按钮动作正常。
由于维修现场无机床电气原理图，只能根据实际机床接线检查。检查发现，该机床电源单元的COM（CP3–3）与OFF（CP3–2）间通过了辅助线路进行连接，COM与EOF间串联了面板上的CNCOFF按钮常闭触点、电柜门开关触点、主轴传动系统防护门开关等多个接通条件。
逐一检查以上条件，在确认全部条件都满足，COM与EOF间触点闭合后，重新起动，机床恢复正常。
维修体会与维修要点：
1）FANUC电源单元AI由于体积小、可靠性高，在0系列系统中使用较广。在该单元的电源不能接通的故障维修中，通过测绘内部输入单元的电气原理图，再对照原理图进行维修是最有效、最可靠的方法。
2）由于电源单元AI体积小、控制电压种类较多，在进行测量维修处理，特别是更换元器件时，必须十分谨慎；以防止损坏其他控制元器件。
3）除以上实例中的常见"
"故障现象：一台配套SIEMENS880M系统的立式加工中心，开机时出现CNC电源无法接通的故障。
","分析及处理过程检查系统电源模块的5V指示灯不亮，测量系统电源模块的外部电源输入端DC24V正常；NC的全部起动条件均满足；风机监控正常；确认故障与外部起动条件无关。
电源模块故障与电源模块本身不良或CNC不良有关，为了确认故障部位，维修时将电源模块从系统中拔出后，再次进行进一步试验。试验表明，此时电源模块即可以正常起动，从而确认故障在CNC内部。
通过逐一取下CNC各组成模块，进行多次试验，最终确认故障是由于其中的一块位置测量模块不良引起的5V过载。对测量模块进行维修后，系统即可起动。"
"故障现象：一台配套SIEMENS810M系统的卧式加工中心，开机时出现CNC电源无法接通的故障。

","分析及处理过程SIEMENS8l0M系统的外部电源控制要求十分简单，只要CNC的+24V电源输入正常，只需短接CNC电源模块上的NC–ON端，即可以起动系统。
维修时通过短接CNC电源模块上的NC–ON端试验，发现系统可正常接通电源，由此确认故障是由于系统电源接通（NC–ON）回路故障引起的。
进一步检查发现，该机床数控系统的外部条件未满足，根据机床电气原理图，逐一检查，在满足系统起动条件后，重新起动CNC，系统正常起动。"
"故障现象：某配套GE2000系统的数控车床，在开机时由于车间突然断电，引起停机；重新开机后，系统无法起动。
","分析及处理过程经检查与测量，发现该机床GE2000系统的电源模块上的+5V电压空转时为5V（正常），但在开机后仅为2.3V，表明电源模块不良。
通过现场测绘系统电源模块的电气原理图，并根据原理图用示波器逐级测量、分析开关电源的信号波形，最终确认故障原因是由于开关电源的驱动管Q2不良引起的，更换同规格大功率管后，故障排除，机床恢复正常。"
"故障现象：某配套SIEMENS880M的加工中心，机床加工过程中，显示器突然消失，再次开机后无显示。
","分析及处理过程检查系统各主要模块的指示灯状态全部正常，甚至在无显示的情况下，机床仍然能够手动移动，证明故障仅仅在系统的显示部分。
取下CRT检查，经检查发现，CRT上的高压包的一个线圈接头烧断，重新连接后故障排除，机床恢复正常。"
"故障现象：配套LJ–10T的数控车床，开机后CRT无显示。
","分析及处理过程：经与上例同样的检查，测量CRT作电源DC12V正常，但显示器无视频信号输入。
进一步检查发现，系统MTB板上的视频信号输出回路的一只电容器对地短路；更换后，显示恢复正常。"
"故障现象：一台卧式加工中心机床，配套FANUC6M系统，在机床较长时间未开机后，开机时出现908和911号报警。
","分析及处理过程在FANUC6中，当出现系统报警ALM908、ALM911时，说明磁泡存储器故障和RAM奇偶出错。通过对磁泡存储器的初始化操作进行清除，故障仍然无法消除：然后采用替换法，确认磁泡存储器与主控制板都存在故障。更换磁泡存储器板与

主板后经上例同样的操作，故障排除，机床恢复正常。
分析本机床造成损坏的原因，可能是该加工中心处于湿度较大的地区，CNC系统电柜内部很多地方已经锈蚀，机床又未能经常、及时进行去除潮湿处理，从而引起了主板、存储器板的损坏。"
"故障现象：某配套FANUCOTD的数控车床（二手设备），在强电线路维修完成，更换电池单元电池，系统电源正常后，开机显示器显示乱码。
","分析及处理过程由于本机床为二手设备，机床已经长常时间没有使用，维修时电池单元电池已经完全失效，估计系统内部RAM数据己经出错。因此，必须对系统RAM进行初始化处理。
同时按住系统操作面板的“DELETE”与“RESET”键，接通系统电源，对系统的参数、用户程序存储器进行总清，系统显示报警页面。继续操作系统面板上的其他功能键，系统页面显示恢复正常。"
"故障现象：配套SIEMENS8M的进口加工中心，开机后系统无显示，机床无法正常开
机。
","分析及处理过程：检查系统各控制模块的状态指示灯，发现NC–CPU模块（MS100）
上的!/C与S报警灯亮，操作面板上的“FAULT”指示灯亮，表明系统硬件故障。
SIEMENS8M系统NC–CPU模块（MS100）上的!/C与S报警灯亮，通常与系统的位置测量模块（MS250）有关。维修时，通过互换法确认了以上判断。
取下该模块检查发现，其中的集成电路D186（74LS245）不良，更换同型号的集成电

路后，系统恢复正常工作。"
