questions	rewrite1	rewrite2	rewrite3	ture_answers
"故障现象：某配套FANUC6M的立式加工中心，在长期停用后首次开机，出现电源无法接通的故障。
"	一台配备了FANUC6M的立式加工中心，在长时间未使用后首次启动时，出现了电源无法接通的问题。	一台配备了FANUC6M的立式加工中心，在长时间未使用后首次启动，遇到了电源无法接通的问题。	一台配有FANUC6M的立式加工中心，在长时间未使用后首次启动，遇到了电源无法连接的故障。	分析及处理过程对照以上原理图4–1，经测量电源输入单元TP1，输入U/V/?为200V正常，但检查U1、V1端无AC200V。由图4–1可见，其故障原因应为F1、F2熔断，经测量确认F1、F2已经熔断。进一步检查发现，输入单元的TP3上200A/200B间存在短路。为了区分故障部位，取下TP3上的200A、200B连线，进行再次测量，确认故障在输入单元的外部。检查线路发现200A、200B电缆绝缘破损。在更换电缆、熔断器F1、F2，排除短路故障后，机床恢复正常。
"故障现象：一台配套FANUC–6M系统的立式加工中心，在加工过程中突然停电，再次开机后，系统电源无法正常接通。
"	一台配置了FANUC-6M系统的立式加工中心在加工过程中遭遇突然停电。当再次启动时，系统电源无法正常启动。	一台配置了FANUC-6M系统的立式加工中心，在加工过程中遇到了突然停电的情况。当再次启动机器时，系统电源无法正常开启。	一台配置了FANUC-6M系统的立式加工中心在加工期间遭遇突然断电。当再次启动时，系统电源无法正常启动。	"分析及处理过程对照以上原理图，检查机床电源输入单元，发现发光二极管PIL不亮，检查熔断器F1、FZ已经熔断。通过测量，确认该机床的200A/200B间存在短路。
为了迅速判定故障部位，维修时断开了端子TP3的200A/200B的连接，再次测量发现短路现象依然存在，因此判定故障存在于输入单元内部。
对照原理图4–1，首先测量F1、F2的输出端U1、V1，确认无短路；因此，故障范围被缩小到SK1、SK2、LC2上。逐一检查以上冬元器件，最终确认故障是由于RC吸收器SK1短路引起的。取下SK1，并更换同规格（0.1?F/200*）RC吸收器后，故障排除，机床恢复正常工作。"
"故障现象：某配套FANUC11M的立式加工中心（自立型电柜），在车间进行日常维护后，系统电源无法接通。
"	一台配备了FANUC11M的立式加工中心（独立式电柜）在车间进行常规维护后，无法开启系统电源。	一台配装有FANUC11M的立式加工中心（自立型电柜）在车间完成日常维护后，出现了系统电源无法接通的故障现象。	一台配备FANUC11M的立式加工中心（独立式控制柜）在车间完成常规维护后，无法开启系统电源。	分析及处理过程经检查该机床电源输入单元的熔断器FI~F6均正常；输入电源正确；发光二极管PIL正常发光，图4–2中的E/O端DC24V正常。但按下S1按钮，LC1/LC2均不吸合。对照图4–3进行线路测量、检查，发现电柜门互锁开关（触点DOOR1/DOOR2）开路。进一步检查发现，电柜门开关中有一个开关损坏，经更换后，机床恢复正常。
"故障现象：某配套FANUC6M的立式加工中心，开机时发现系统电源无法正常接
通。
"	在一台配有FANUC6M的立式加工中心中，开机时发现系统电源无法正常开启。	开机时，发现某配套FANUC6M的立式加工中心的系统电源无法正常接通。	在一台配备了FANUC6M的立式加工中心中，开机时出现了系统电源无法正常接通的故障现象。	"分析及处理过程经检查，输入单元PIL灯与ALM灯均亮，由原理图4–3可知，引
起故障的原因可能是来自CP1–5/6的24V/±15V/+5V电源模块报警。当CP1–5/6接通后，由于中间继电器AL的吸合，使RY1互锁，RY1无法吸合。为了确认，维修时暂时断开了CP1–5、6间的连接，再次进行试验，ALM灯灭，CNC可以起动（CRT上显示报警），证明了故障原因。通过对电源单元进行必要的维修处理（有关电源单元的维修，参见本节后述），排除电源模块故障后，机床恢复正常。"
"故障现象：某配套FANUC6M的立式加工中心，开机时发现系统电源无法正常接
通。
"	在一台装配有FANUC6M的立式加工中心中，开机时系统电源未能正常启动。	在一台装有FANUC6M的立式加工中心中，开机时发现系统电源无法正常开启。	在一台装有FANUC6M的立式加工中心中，开机时发现系统电源无法正常启动。	"分析及处理过程经检查，该机床输人单元的发光二极管PIL不亮，内部无DC24V
电压，对照原理图4–2可知，可能的原因为Q1、DS1、C1与F3等元器件不良。
逐一检查以上元器件，发现输入单元的F3已经熔断，其他元器件均无故障。更换 
F3后开机试验，机床随即恢复正常，证明故障是偶然性的过电流引起的。例7.电源缺相引起的故障维修
"
"故障现象：一台配置SIEMENS6M系统的进口立式加工中心，开机调试时，发现系统电源无法正常接通。
"	在开启一台配备了SIEMENS6M系统的进口立式加工中心进行调试时，发现系统电源无法正常启动。	在开启一台配备了SIEMENS 6M系统的进口立式加工中心进行调试时，我们注意到系统电源无法正常启动。	在开启一台配备了SIEMENS6M系统的进口立式加工中心进行调试时，我们发现系统电源无法正常启动。	"分析及处理过程SIEMENS6M系统是SIEMENS与FANU公司合作生产的产品，系统除采用S5–130@BPLC代替FANUC6M的连接单元外，其余部分与FS6M完全相同。
根据输入单元的原理图4–3进行分析测量，确认故障原因为输入控制电路的外部电源切断触点COM–EOF间开路所至。

对照机床电气控制原理图分析，检查该机床外部电源切断触点的闭合条件，发现其中的直流主轴电动机励磁回路的欠电流继电器动作，导致了COM–EOF断开。排除主电动机故障后，触点闭合，再次起动机床，电源正常接通。"
"故障现象：一台配置SIEMENS6M系统的进口立式加工中心，机床到厂后第一次开机，发现系统的电源无法正常接通。
"	一台配备SIEMENS6M系统的进口立式加工中心出现了故障。当机床抵达工厂并首次启动时，我们发现无法正常开启系统电源。	一台配备了SIEMENS6M系统的进口立式加工中心，在初次开机使用时，出现电源无法正常接通的故障现象。	一台装有SIEMENS6M系统的进口立式加工中心出现了问题。当设备到达工厂并首次开启时，我们发现无法正常连接系统的电源。	"分析及处理过程系统同上倒，根据输入单元的原理图分析测量，确认故障原因为输入单元的ON/OFF控制电路的外部触点COM–EOF开路。对照机床电气控制原理图分析、检查，发现COM–EOF触点闭合条件中包括了PLC（SS–1303B）的输出信号，作为系统起动的互锁条件，由于此信号无输出，引起了触点的断开。
进一步检查PLC，发现该PLC中的运行开关在出厂时被置于“STOP”位，整个PLC未正常运行，根据PLC的说明，通过以下步骤重新启动PLC：
1）按住PLC的“Restart”键并保持，将PLC的运行开关拨至“RUN”位，PLC的“RUN”、“STOP”灯同时亮；
2）在不松开“Restart”键的前提下，等待PLC的指示灯“RUN”灭，“STOP”亮；
3）松开“Restwt”键，再次将PLC的运行开关拨至“STOP”，然后再拨至“RUN”；
4）PLC的“RUN”、“STOP”再次同时亮，等待数秒后，再次变成只有“STOP”亮；
5）第三次将PLC运行开关拨至‘STOP”，然后再拨至“RUN”；
6）PLC的“RUN”、“STOP”第三次同时亮，等待数秒后，PLC上的“STOP”灯灭，“RU’N”灯亮，PLC完成重新启动过程。
通过以上操作，PLC开始运行，互锁触点开始闭合，开机后，机床可以正常工作。例10.PLC互镇引起的故障维修
"
"故障现象：一台配置SIEMENS6M系统的进口立式加工中心，在夹具调试过程中突

然停机，再次开机时，电源无法正常接通。
"	在对一台配有SIEMENS 6M系统的进口立式加工中心进行夹具调试时，设备突然停止运行。当尝试重新启动时，发现无法正常连接电源。	在对一台配备了SIEMENS6M系统的进口立式加工中心进行夹具调试时，机器突然停止运行。当尝试重新启动时，发现无法正常连接电源。	在对一台配备了SIEMENS 6M系统的进口立式加工中心进行夹具调试时，设备突然停止运行。当试图重新启动设备时，发现无法正常接通电源。	"分析及处理过程机床型号及系统规格上倒，经过与上倒同样的分析检查，确认故障原因是由于PLC的互锁触点动作引起的。在本例中，检查PLC处于正常运行状态；机床工作台未超程；但PLC互锁输出的中间继电器未吸合。进一步检查发现，PLC上的DC24V/2A输出模块中的全部输出指示灯均不亮，但其他输出模块（DC24V/0.5A）上的全部指示灯正常亮，由此判定故障原因是S5–1301B的DC24V/2A公共回路故障引起的。检查该模块的全部输出信号的公共外部电源DC24V为“0”，24V断路器跳闸。
进一步测量发现，夹具上的24V连接线碰机床外壳，导致了断路器的跳闸，重新处理后，合上DC24V断路器，机床恢复正常工作。"
"故障现象：一台配置SIEMENS6M系统的进口立式加工中心，在用户使用时，发现电源无法正常接通。
"	当用户使用配置有SIEMENS6M系统的进口立式加工中心时，发现无法正常接通电源。	当用户使用一台配备了SIEMENS6M系统的进口立式加工中心时，发现无法正常开启电源。	当用户使用一台配备了SIEMENS6M系统的进口立式加工中心时，发现无法正常开启电源。	"分析及处理过程机床型号及系统规格同例11，经分析检查，确认故障原因为PLC引起的互锁。在本例中，检查PLC输出，确认PLC的互锁信号无输出。对照PLC程序与机床电气原理图，逐一检查PLC程序中的逻辑条件，发现可能引起PLC互锁的条件均己满足，且PLC已正常运行，输出模块上的公共24V电源正常，排除了以上可能的原因。
为了确认故障部位，维修时取下PLC输出模块进行检查，经仔细检查，发现故障的原因是模块地址设定错误引起的。对于SIEMENSS5–1301B的输入、输出模块，需要通过设定端进行模块地址设定。
在本机床上，用户在机床出现其他故障时，曾调换过PLC的输出模块，但在调换时，未考虑到改变模块的地址设定，从而引起上达报警，恢复地址设定后，故障排除，机床可以正常起动。
维修体会与维修要点：
1）FANUC6/1等系统电源控制，由于采用了“输入单元”进行电源通/断控制，因此，其控制线路比直接电源加入型系统要复杂。通过测绘输入单元的电气原理图，再对照原理图进行维修是最有效、最可靠的方法。
2）由于输入单元的控制电压种类较多，在进行测量维修处理，特别是作“短接”试验时，必须十分谨慎，防止损坏控制元器件。
3）根据个人的维修经验，FANUC6/11等系统的电源输入单元的元器件，除熔断器外，其他元器件损坏的几率非常小，维修时切勿轻易更换元器件。
4）在某些机床上，由于机床互锁的需要，使用了外部电源切断信号，这时应根据机床电气原理图，综合分析故障原因，排除外部电源切断的因素，才能起动。
2.例13.浪涌吸收器不良引起的故障维修
"
"故障现象：某配套FANUCOMC的数控铣床，在加工过程中突然断电，再开机时，系统电源无法正常接通。
"	在加工过程中，一台配备了FANUCOMC的数控铣床突然停电。当重新开机时，系统电源无法正常启动。	一台配有FANUCOMC的数控铣床在加工过程中突然停电，当再次开启时，系统电源无法正常启动。	一台配有FANUCOMC的数控铣床在加工过程中出现了突发性断电，当再次尝试开启时，系统电源无法正常启动。	"分析及处理过程经检查，图4–5中的熔断器F11、F12已熔断；通过测量，R、S间无短路，证明浪涌电压吸收器VS11以及辅助电源控制模块M11无故障。但200R、200S间存在短路现象，表明故障是由于NF1、DS1或外部200R、200S间的短路引起的。
为了判别短路部位是在电源单元内部或外部，当时拔下了插头CP2，断开了200R、200S与外部的连接。通过检查发现短路消失，确认AC200V短路是由于外部200R、200S路引起的。进一步检查200R、200S上的各元器件，最终找到故障原因是由伺服主接触器发生短路引起的，更换接触器及F11、F12后，故障排除，机床恢复正常。"
