问题,答案
问题:什么是数控技术，为什么现代数控也被称为计算机数控？,答案:数控技术，简称数控Numerical Control—NC，是利用数字化信息对机械运动及加工过程进行控制的方法。现代数控采用计算机进行控制，因此也称为计算机数控Computerized Numerical Control—CNC。
问题:数控系统包括哪些组成部分，数控系统的核心是什么？,答案:数控系统由用来实现数字化信息控制的硬件和软件组成，整体称为数控系统Numerical Control System。数控系统的核心是数控装置Numerical Controller。
问题:什么是数控机床，它是如何应用数控技术的典型机械产品？,答案:数控机床是采用数控技术进行控制的机床，是一种综合应用了计算机技术、自动控制技术、精密测量技术和机床设计等先进技术的典型机电一体化产品，是现代制造技术的基础。
问题:什么是数控机床？,答案:数控机床是指采用了数控技术进行控制的机床。它们种类繁多，包括钻铣镗床类、车削类、磨削类、电加工类、锻压类和激光加工类等。
问题:什么是 NC 机床？,答案:采用了数控技术进行控制的机床统称为 NC 机床。
问题:什么是加工中心？,答案:带有自动刀具交换装置的数控机床除了带有回转刀架的数控车床称为加工中心。它们通过刀具的自动交换，可以一次装、夹完成多工序的加工，从而提高了机床的效率和加工精度。
问题:什么是加工中心，它在数控机床中的地位如何？,答案:加工中心是目前数控机床中产量最大、应用最广的数控机床，具有自动刀具交换装置，可以一次装、夹完成多工序的加工。
问题:什么是柔性加工单元FMC，它是如何提高设备加工效率的？,答案:柔性加工单元Flexible Manufacturing Cell—FMC是在加工中心的基础上通过增加多工作台托盘自动交换装置Auto Pallet Changer—APC以及其他相关装置组成的。FMC不仅实现了工序的集中和工艺的复合，而且通过工作台托盘的自动交换和较完善的自动检测、监控功能，可以进行一定时间的无人化加工，从而进一步提高了设备的加工效率。
问题:什么是柔性制造系统FMS，它包括哪些要素？,答案:柔性制造系统Flexible-ManufacturingSystem—FMS是在FMC和加工中心的基础上，通过增加物流系统、工业机器人以及相关设备，并由中央控制系统进行集中、统一控制和管理的制造系统。FMS包括加工中心、FMC、物流系统、工业机器人等要素。
问题:什么是 FMS，它具有哪些特点？,答案:FMS 是一种高度自动化的先进制造系统，可以进行长时间的无人化加工以及实现多品种零件的全部加工或部件装配。它实现了车间制造过程的自动化。
问题:什么是 CIMS，它将哪些生产制造过程进行了集成？,答案:CIMS 是一种将市场预测、生产决策、产品设计、产品制造直到产品销售的全面自动化要求综合的生产制造系统。它将一个工厂的生产、经营活动进行了有机的集成，实现了更高效益、更高柔性的智能化生产。
问题:什么是数控系统，它在数控设备中扮演什么角色？,答案:数控系统是所有数控设备的核心，主要控制坐标轴的位移。其控制信息主要来源于数控加工或运动控制程序。
问题:数控系统的基本组成包括哪些部分？,答案:数控系统的基本组成包括程序的输入/ 输出装置、数控装置和伺服驱动。
问题:输入/ 输出装置的作用是什么？,答案:输入/ 输出装置的作用是进行数控加工或运动控制程序、加工与控制数据、机床参数以及坐标轴位置、检测开关的状态等数据的输入、输出。
问题:常见的输入/ 输出装置有哪些？,答案:常见的输入/ 输出装置包括键盘、显示器、光电阅读机、磁带机、软盘驱动器和计算机等。
问题:计算机在数控系统中的作用是什么？,答案:计算机是目前常用的输入输出装置之一，可以进行数据的输入和输出。
