例子,故障现象,分析过程,,,,,,,
"例1.外部200V短路引起的故障维修
","故障现象：某配套FANUC6M的立式加工中心，在长期停用后首次开机，出现电源无法接通的故障。
",分析及处理过程对照以上原理图4–1，经测量电源输入单元TP1，输入U/V/?为200V正常，但检查U1、V1端无AC200V。由图4–1可见，其故障原因应为F1、F2熔断，经测量确认F1、F2已经熔断。进一步检查发现，输入单元的TP3上200A/200B间存在短路。为了区分故障部位，取下TP3上的200A、200B连线，进行再次测量，确认故障在输入单元的外部。检查线路发现200A、200B电缆绝缘破损。在更换电缆、熔断器F1、F2，排除短路故障后，机床恢复正常。,,,,,,,
"例2.RC吸收器短路引起的故障维修
","故障现象：一台配套FANUC–6M系统的立式加工中心，在加工过程中突然停电，再次开机后，系统电源无法正常接通。
","分析及处理过程对照以上原理图，检查机床电源输入单元，发现发光二极管PIL不亮，检查熔断器F1、FZ已经熔断。通过测量，确认该机床的200A/200B间存在短路。
为了迅速判定故障部位，维修时断开了端子TP3的200A/200B的连接，再次测量发现短路现象依然存在，因此判定故障存在于输入单元内部。
对照原理图4–1，首先测量F1、F2的输出端U1、V1，确认无短路；因此，故障范围被缩小到SK1、SK2、LC2上。逐一检查以上冬元器件，最终确认故障是由于RC吸收器SK1短路引起的。取下SK1，并更换同规格（0.1?F/200*）RC吸收器后，故障排除，机床恢复正常工作。",,,,,,,
"例3“.电源断开”信号引起的故障维修
","故障现象：某配套FANUC11M的立式加工中心（自立型电柜），在车间进行日常维护后，系统电源无法接通。
",分析及处理过程经检查该机床电源输入单元的熔断器FI~F6均正常；输入电源正确；发光二极管PIL正常发光，图4–2中的E/O端DC24V正常。但按下S1按钮，LC1/LC2均不吸合。对照图4–3进行线路测量、检查，发现电柜门互锁开关（触点DOOR1/DOOR2）开路。进一步检查发现，电柜门开关中有一个开关损坏，经更换后，机床恢复正常。,,,,,,,
"例5.电源模块故障引起的故障维修
","故障现象：某配套FANUC6M的立式加工中心，开机时发现系统电源无法正常接
通。
","分析及处理过程经检查，输入单元PIL灯与ALM灯均亮，由原理图4–3可知，引
起故障的原因可能是来自CP1–5/6的24V/±15V/+5V电源模块报警。当CP1–5/6接通后，由于中间继电器AL的吸合，使RY1互锁，RY1无法吸合。为了确认，维修时暂时断开了CP1–5、6间的连接，再次进行试验，ALM灯灭，CNC可以起动（CRT上显示报警），证明了故障原因。通过对电源单元进行必要的维修处理（有关电源单元的维修，参见本节后述），排除电源模块故障后，机床恢复正常。",,,,,,,
"例6.偶然性过电流引起的故障维修
","故障现象：某配套FANUC6M的立式加工中心，开机时发现系统电源无法正常接
通。
","分析及处理过程经检查，该机床输人单元的发光二极管PIL不亮，内部无DC24V
电压，对照原理图4–2可知，可能的原因为Q1、DS1、C1与F3等元器件不良。
逐一检查以上元器件，发现输入单元的F3已经熔断，其他元器件均无故障。更换 
F3后开机试验，机床随即恢复正常，证明故障是偶然性的过电流引起的。例7.电源缺相引起的故障维修
","故障现象：一台配套FANUC6ME的立式加工中心，在机床加工时，出现快速运动过程中发生碰撞，引起机床的突然停机，再次开机后，系统显示ALM401，伺服驱动器主回路无法接通。
","分析及处理过程FANUC6M系统出现ALM401报警的含义是伺服驱动器的“VRDY”信号断开，即：驱动器未准备好。根据伺服驱动系统的故障分析方法（详见本书第5章），检查3轴驱动器的主回路电源输入，发现只有V相有电压输入。
逐级测量主回路电源，最终发现输入单元的伺服主回路熔断器F4、F6熔断，在确认驱动器无损坏的前提下，换上F4、F6后，机床恢复正常工作。",,,,,
"例8.主轴电动机互锁引起的故障维修
","故障现象：一台配置SIEMENS6M系统的进口立式加工中心，开机调试时，发现系统电源无法正常接通。
","分析及处理过程SIEMENS6M系统是SIEMENS与FANU公司合作生产的产品，系统除采用S5–130@BPLC代替FANUC6M的连接单元外，其余部分与FS6M完全相同。
根据输入单元的原理图4–3进行分析测量，确认故障原因为输入控制电路的外部电源切断触点COM–EOF间开路所至。

对照机床电气控制原理图分析，检查该机床外部电源切断触点的闭合条件，发现其中的直流主轴电动机励磁回路的欠电流继电器动作，导致了COM–EOF断开。排除主电动机故障后，触点闭合，再次起动机床，电源正常接通。",,,,,,,
"例9.PLC未运行引起的故障维修
","故障现象：一台配置SIEMENS6M系统的进口立式加工中心，机床到厂后第一次开机，发现系统的电源无法正常接通。
","分析及处理过程系统同上倒，根据输入单元的原理图分析测量，确认故障原因为输入单元的ON/OFF控制电路的外部触点COM–EOF开路。对照机床电气控制原理图分析、检查，发现COM–EOF触点闭合条件中包括了PLC（SS–1303B）的输出信号，作为系统起动的互锁条件，由于此信号无输出，引起了触点的断开。
进一步检查PLC，发现该PLC中的运行开关在出厂时被置于“STOP”位，整个PLC未正常运行，根据PLC的说明，通过以下步骤重新启动PLC：
1）按住PLC的“Restart”键并保持，将PLC的运行开关拨至“RUN”位，PLC的“RUN”、“STOP”灯同时亮；
2）在不松开“Restart”键的前提下，等待PLC的指示灯“RUN”灭，“STOP”亮；
3）松开“Restwt”键，再次将PLC的运行开关拨至“STOP”，然后再拨至“RUN”；
4）PLC的“RUN”、“STOP”再次同时亮，等待数秒后，再次变成只有“STOP”亮；
5）第三次将PLC运行开关拨至‘STOP”，然后再拨至“RUN”；
6）PLC的“RUN”、“STOP”第三次同时亮，等待数秒后，PLC上的“STOP”灯灭，“RU’N”灯亮，PLC完成重新启动过程。
通过以上操作，PLC开始运行，互锁触点开始闭合，开机后，机床可以正常工作。例10.PLC互镇引起的故障维修
","故障现象：一台配置SIEMENS6M系统的进口立式加工中心，机床在程序试运行过程中，突然停机，再次开机时发现系统电源无法正常接通。
","分析及处理过程机床型号及系统规格同上倒，经与上倒同样的分析，确认故障是由于PLC输出互锁引起的。检查PLC作正常，但操纵台上的“急停”指示灯不停地闪烁，表明机床进入了“急停”状态。进一步检查随机提供的PLC程序，发现“急停”指示灯不停闪烁的原因是由于工作台的超极限引起的。
在关机状态下，通过手摇X轴滚珠丝杠（机床上本身设计了紧急退出的手动装置），使X轴退出限位后，重新起动机床，故障排除，机床恢复正常工作。",,,,,
"例11.24V保护引起的故障维修
","故障现象：一台配置SIEMENS6M系统的进口立式加工中心，在夹具调试过程中突

然停机，再次开机时，电源无法正常接通。
","分析及处理过程机床型号及系统规格上倒，经过与上倒同样的分析检查，确认故障原因是由于PLC的互锁触点动作引起的。在本例中，检查PLC处于正常运行状态；机床工作台未超程；但PLC互锁输出的中间继电器未吸合。进一步检查发现，PLC上的DC24V/2A输出模块中的全部输出指示灯均不亮，但其他输出模块（DC24V/0.5A）上的全部指示灯正常亮，由此判定故障原因是S5–1301B的DC24V/2A公共回路故障引起的。检查该模块的全部输出信号的公共外部电源DC24V为“0”，24V断路器跳闸。
进一步测量发现，夹具上的24V连接线碰机床外壳，导致了断路器的跳闸，重新处理后，合上DC24V断路器，机床恢复正常工作。",,,,,,,
"例12.PLC地址错误引起的故障维修
","故障现象：一台配置SIEMENS6M系统的进口立式加工中心，在用户使用时，发现电源无法正常接通。
","分析及处理过程机床型号及系统规格同例11，经分析检查，确认故障原因为PLC引起的互锁。在本例中，检查PLC输出，确认PLC的互锁信号无输出。对照PLC程序与机床电气原理图，逐一检查PLC程序中的逻辑条件，发现可能引起PLC互锁的条件均己满足，且PLC已正常运行，输出模块上的公共24V电源正常，排除了以上可能的原因。
为了确认故障部位，维修时取下PLC输出模块进行检查，经仔细检查，发现故障的原因是模块地址设定错误引起的。对于SIEMENSS5–1301B的输入、输出模块，需要通过设定端进行模块地址设定。
在本机床上，用户在机床出现其他故障时，曾调换过PLC的输出模块，但在调换时，未考虑到改变模块的地址设定，从而引起上达报警，恢复地址设定后，故障排除，机床可以正常起动。
维修体会与维修要点：
1）FANUC6/1等系统电源控制，由于采用了“输入单元”进行电源通/断控制，因此，其控制线路比直接电源加入型系统要复杂。通过测绘输入单元的电气原理图，再对照原理图进行维修是最有效、最可靠的方法。
2）由于输入单元的控制电压种类较多，在进行测量维修处理，特别是作“短接”试验时，必须十分谨慎，防止损坏控制元器件。
3）根据个人的维修经验，FANUC6/11等系统的电源输入单元的元器件，除熔断器外，其他元器件损坏的几率非常小，维修时切勿轻易更换元器件。
4）在某些机床上，由于机床互锁的需要，使用了外部电源切断信号，这时应根据机床电气原理图，综合分析故障原因，排除外部电源切断的因素，才能起动。
2.例13.浪涌吸收器不良引起的故障维修
","故障现象：某配套FANUC0MC的立式加工中心，在外部突然断电后再开机时，出现系统电源无法正常接通的故障。
","分析及处理过程经检查，该机床的系统采用了输入单元集成式FANUCAI电源单元（A16B–1211–0100），其外形以及与外部的连接如图4今所示。
AI电源单元是FANUC公司生产的输入单元与电源集成一体的电源控制单元，它既具有普通FANUC系统电源单元（如：FANUC电源单元A、电源单元B、B2）的功能，又具有前述的FANUC输入单元的系统电源通/断控制功能。这种模块体积小，使用方便，可靠性好，因此在数控机床上使用较多。
FANUCAI电源单元的输入/输出连接如下：
CPI：AC200V（220V/230V/240V）电源输入；
CP2：与系统电源ON们FF同步的AC200V（220V厘30V/2V/24oV）电源输出；
CP3：电源单元的控制信号输入，包括：系统电源ON/OFF开关触点输入（ON、OFF、
COM）；外部报警信号触点输入（AL、OFF）；电源单元报警输出（FA、FB）；CP12：向主板提供的5V、+15V、–15V、+24V、+24VE电源输出；CP15：向CRT提供的24V电源输出。
模块正面有PIL（绿）与ALM（红）两只指示灯，指示灯状态的含义如下：
PIL（绿）：电源指示灯。当外部AC电源加入，且内部输入单元的DC24V辅助控制电源电压正常时，指示灯亮。
ALM（红）：报警指示灯。灯亮时表明电源单元内部存在故障或外部报警信号（AL、OFF）触点闭合。
FANUCAI电源单元的系统、伺服电源接通/断开控制部分的原理如图4–5图4–6
所示。
由图4–5可见，外部电源经输入端子CP1的R、S端加入，经熔断器n11、F12（7.5A），浪涌电压吸收器VS11、继电器触点RY3、RY4，控制AC200V。这一AC200V电压，经CP2上的200R、200S端输出到模块外部，使外部获得与电源单元同步接肠断开的200V控制电压。在通常情况下，CP2上的AC200V输出电压用来接通伺服驱动的主接触器MCC，从而实现伺服驱动器和系统的同步通/断控制。







图4–5AI电源模块主回路原理图
在电源单元内部，200V（200R、200S）控制电压又经电源滤波器NF1、二极管整流桥DS1、滤波电容C12、C13产生开关电源的直流母线电压（V+/V–）。
输入单元内部的DC24V辅助控制电压、开关主电源的DC15V控制电压，由单独的集成开关电源控制模块M11进行控制。M11的开关信号经变压器T1输出，通过D1整流、C2滤波以及ZD1、Q1组成稳压环节，在A24上获得DC24V的输入单元辅助控制电压。当DC24V电源正常后，发光二极管PIL正常发光。同时，24V辅助控制电压又经过熔断器F（10.3A）、浪涌电压吸收器VS1以及ZD2、Q3、C4组成的稳压、滤波环节产生用于开关主电源的DC15V控制电压A15。
图4–6为AI内部输入单元的电源通、断控制回路，它由中间继电器RY1~RY5、RY12等组成。其原理与FANUC6/11所使用的FANUC输入单元相类似，线路中考虑了MD>RT单元上的系统电源ON/FF控制、外部报警（E.ALM信号）、内部电源模块的报警等多种条件，为用户使用提供了便利。
由图4–6可见，AI内部输入单元的电源通、断控制过程如下：
1）通过系统MDI/CRT单元上的系统ON按钮使RY2q~RY4得电；
2）RY3、RY4的常开触点闭合，AC200V电源（200R、200S）接通，开关电源主回路开始工作，产生系统所需要的DC5V、DC24V、DC±15V等电源电压；
3）通过CP2上的200R、200S输出，可以同时接通外部的主接触器MCC，接通伺服驱动电源。




图4–6AI内部电源通/断控制回路输入单元的电源接通条件如下：
1）MDI/CRT单元上的电源切断OFF按钮触点闭合；
2）外部报警触点断开、系统内部开关主电源DCSV、DC24V、DC±15V无故障。
注：在外部报警触点闭合或内部开关主电源故障时，通过电源单元内部的电压监控电路，将使继电器RY12接通，并通过晶闸管CR1接通报警继电器RY1，断开系统电源。在本例中，经检查发生故障时，图4–5中的熔断器F11、F12己熔断。再进一步测量
发现，熔断器F11、F12间发生短路，原因是浪涌电压吸收器VS11短路。由于当时无备件，为了保证机床的正常生产，维修时暂时取下了浪涌电压吸收器VS11，并更换F11、F12后，机床故障排除。",,,,,
"例14.主接触器短路引起的故障维修
","故障现象：某配套FANUCOMC的数控铣床，在加工过程中突然断电，再开机时，系统电源无法正常接通。
","分析及处理过程经检查，图4–5中的熔断器F11、F12已熔断；通过测量，R、S间无短路，证明浪涌电压吸收器VS11以及辅助电源控制模块M11无故障。但200R、200S间存在短路现象，表明故障是由于NF1、DS1或外部200R、200S间的短路引起的。
为了判别短路部位是在电源单元内部或外部，当时拔下了插头CP2，断开了200R、200S与外部的连接。通过检查发现短路消失，确认AC200V短路是由于外部200R、200S路引起的。进一步检查200R、200S上的各元器件，最终找到故障原因是由伺服主接触器发生短路引起的，更换接触器及F11、F12后，故障排除，机床恢复正常。",,,,,,,
