问题,答案
专用机床的主要优点和缺点是什么？,专用机床是专门用于加工一种工件或某工序的机床，它可以同时用许多刀具进行切削，机床的辅助动作部分地实现了自动化，结构也比万能机床简单，生产效率提高。但专用机床有一个最大的弱点：就是当被加工零件稍有一点变动，它就用不上了，需要另造新的机床，不能适应现代机械工业技术迅速发展和产品经常革新的需要，而且这种机床设计制造周期长，造价也高。
问题:什么是组合机床，它有哪些特点？,答案:组合机床是将机床上带动刀具对工件产生切削运动的部分以及床身、立柱、工作台等设计制造成通用的独立部件，称为“通用部件”。根据工件加工的需要，用这些通用部件配以部分专用部件就可组成机床。组合机床是按高度工序集中原则设计的，即在一台机床上可以同时完成许多同一种工序或多种不同工序的加工。组合机床具有专用机床效率高和万能机床能够重新调整以适应新工件加工的特点。
问题:组合机床的组成部件有哪些？,答案:组合机床由通用部件和专用部件组成。通用部件包括底座及回转工作台、动力头、立柱、驱动力箱、滑座和床身等。专用部件包括夹具、活动钻模板和主轴箱等。
问题:组合机床的优点是什么？,答案:组合机床的优点包括：可以灵活适应不同工件的加工需求，只需更换部分专用部件；生产效率高，结构简单；设计制造周期短，造价相对较低；适合大批量生产。
问题:什么是组合机床通用部件？,答案:组合机床通用部件是指在组合机床中可以重复使用的部件，包括动力部件、工件运送部件、支承部件和控制系统等。它们的性能结构、配套和联系尺寸在《组合机床通用部件图册》中有详细介绍。
问题:组合机床通用部件有哪些分类？,答案:组合机床通用部件大致可以分为动力部件、工件运送部件、支承部件和控制系统等四类。动力部件包括动力头、动力滑台和动力箱等；工件运送部件包括回转工作台、移动工作台和回转鼓轮等；支承部件包括立柱、床身、底座和滑座等；控制系统包括通用的液压传动装置、电气操纵台等。
问题:为什么组合机床通用部件需要在小的外形尺寸下获得大的进给力和功率？,答案:这是实现集中工序的重要条件。组合机床通用部件需要在小的外形尺寸下获得大的进给力和功率，以便在有限的空间内完成多个工序的加工，提高生产效率。
问题:组合机床通用部件的结构需要具有哪些特点？,答案:组合机床通用部件的结构需要具有高的刚度，以便能采用合理的切削用量；主运动和进给运动应具有较大的变速范围，以便能充分发挥切削刀具的性能；进给机构必须保证进给的稳定性；应有较高的空行程速度，一般大于6~8米/分，并保证较高的从快进到工作进给的转换精度，一般应在1毫米以内。
问题:组合机床通用部件的设计制造与专用机床相比有哪些优势？,答案:组合机床通用部件的设计制造与专用机床相比，可以缩短设计和制造周期，降低生产成本，提高生产效率。组合机床通用部件的使用还可以提高设备的利用率，减少设备的投资和维护费用。
问题:专用机床的设计和制造存在哪些？,答案:专用机床的全部零件都需要一个一个地设计和制造，劳动量大，生产周期长。由于是单件生产，制造成本高，生产使用的也较多。
