questions,answers
什么叫机械的故障？在结构上主要表现在哪些方面？,机械的故障，是指机械的各项技术指标（包括经济指标）偏离了它的正常状况。如某些零件或部件损坏，致使工作能力丧失；发动机功率降低；传动系统失去平衡和噪声增大；工作机构的工作能力下降；燃料和润滑油的消耗增加等，当其超出了规定的指标时，均腐于机械的故障。机械的故障表现在它的结构上主要是它的零件损坏和零件之间相互关系的破坏。如零件的断裂、变形，配合件的间隙增大或过盈丧失，固定和紧固装置的松动和失效等。
按故障发生的时间性分类，故障可分为哪两类？,按故障发生的时间性分，故障可分为突发性故障和渐进性故障。(1)突发性故障主要是由各种不利因素和外界影响共同作用的结果，其发生特点是具有偶然性，一般与机床使用时间无关，因而是难以预测的。但它一般容易排除，因此通常不影响机床的寿命。(2)渐进性故障主要是由产品参数的劣化过程（磨损、腐蚀、疲劳、老化）逐渐发展而形成的。其特点是发生的概率与使用时间有关，且只是在产品的有效寿命的后期才表现出来。渐进性故障一经发生，就标志着产品寿命的终结。因而它往往是机械进行大修的标志。由于这种故障是逐渐发展的，因此，通常是可以进行预测的。
按故障显现的情况分类，故障可分为哪两大类？,按故障显现的情况分类，故障可分为功能故障和潜在故障。(l)功能故障机械产品丧失了工作能力或工作能力明显降低，亦即丧失了它应有的功能，因此称为功能故障。这类故障可以通过操作者的感受或测定其输出参数而判断出来。关键的零件坏了，机械根本不能工作，属于功能故障；生产率达不到规定指标，也与功能故陀有关。这种故障是实际存在的，因而也称实际故障。(2)潜在故障和渐进性故障相联系，当故障在逐渐发展中，但尚未在功能力面表现出来，而同时又接近萌发的阶段，当这种情况能够诊断出来时，即认为是一种故障现象，并称为潜在故障。例如，零件在疲劳破坏过程中，其裂纹的深度是逐渐扩展的，同时其深度又是可以探测的。当探测到裂纹扩展的深度已接近允许的临界值时，便认为是存在潜在故障，必须按实际故障一样来处理。探明了机械的潜在故障，就有可能在机械达到功能故障之前进行排除，这有利于保持机械完好状态，避免由于发生功能故障而可能带来的不利后果，这在机械的使用维修实际中具有重要意义。
按故障发生的原因不同，故障可分为哪两类？,根据故障发生的原因不同，故障可分为人为故障和自然故障。(1)人为故障机械在制造和修理时使用了不合格的零件或违反了装配技术条件；在使用中没有遵守操作技术规程；没有执行规定的保养维护制度以及在运输、保管中不当等原因，而使机械过早地丧失它的应有的功能，这种故障即称为人为故障。(2)自然故障机械设备在使用和保有期内，由于受外部和内部各种不可抗拒的自然因素的影响而引起的故障都属于自然故障。但由于人为过失而加剧损坏的过程时，则应与此相区别。
什么叫故障概率？,机床的技术状况总是随着它的使用时间的延长而逐渐恶化的，因而机床的使用寿命总是有限的。由此可知，机床发生故障的可能性总是随着使用时间的延长而增大的，因而它可以看作是时间的函数。但由于机床故障的发生具有随机性，即无论哪一类故障，人们都难以预料它的确切的发生时间。故机床发生故障的情况都只能用概率来表示，称为故障概率。
什么叫故障率？,产品在某一瞬间可能发生的故障相对于该瞬时的残存概率之间的关系，即故障率的概念。故障率可以定义为：产品在时间t内尚未发生故障，而在下一个单位时间内可能发生故障的条件概率。
什么叫恒定性故障率？,恒定性故障率即故障率为一常数，它不随时间而发生变化。广泛用千描述各种物理董的衰变和衰减的过程。在工程机械中，它可用来描绘突发性故障，因为突发性故障在任何时候发生的机会都相等，因此，其故障率可以看作是一个常数。而同时由于突发性故障与机械使用时间无关，即与其新旧程度无关，它是任何时候都可能发生的，因此又把用不变失效率来措述的故障称为随机故障或偶然故障。
什么叫渐增性故障率？,渐增性故障率是指故漳率随产品工作时间的延长而升高的情况。这是由于组成机械的零件等在便用过程中逐渐丧失其功能而引起的现象。渐进性故障的故障率就属于这种类型。由于渐增性故障率在产品使用寿命的后期变得很大，并且其故障难以通过一般方法来消除，因此也将这种故障称为耗损故障。
什么叫故障前平均工作时间？,将很多个产品投人使用，宜至每一个产品都用至发生故障（失效）为止，将每个产品有效使用时间进行统计，并求其平均值，即称为故障前（或失效前）平均工作时间。
什么叫平均故障间隔时间？,对于可修产品，在其发生故障后，可通过修理措施而恢复其正常功能口其两次相邻故障的平均工作时间称为平均故障间隔时间或平均无故障时间。
