questions,answers
0429 主轴:服务通道 SERCOS1 未激活的原因是什么？应该采取什么措施？,原因是在服务通道相位未激活的情况下，试图与其从动装置进行对话。解决方法是在相位 2 的从动装置上激活服务通道，确保每一个对话操作都在此相位下执行。
0430 主轴:在元素 0 上存取无效的原因是什么？应该采取什么措施？,原因是试图读取或者输入一未在 ID 号中指定的值。解决方法是检验文件 *.SCS 上的数值是否在 ID 号之前传输。
0431 主轴: IDN 号无效的原因是什么？应该采取什么措施？,原因是发送的 ID 号在从动装置上不被执行，可能是当前软件不认可发送的 ID 号。解决方法是联系从动装置制造商，确认是否支持该 ID 号。
0432 主轴:在 IDN 上的存取无效的原因是什么？应该采取什么措施？,原因是试图在带写保护的 ID 号上输入一值，但某些 ID 号的值由制造商选择，不能被修改。解决方法是咨询制造商是否可以改变此 ID 号的值。
主轴:不存在名称的原因是什么？应该采取什么措施？,原因是发送的 ID 号名称的相关编码，但该名称不存在。解决方法是参考 SERCOS 的说明书，或者与从动装置制造商联系，确认该名称是否存在。
主轴:传输的名称编号不足的原因是什么？应该采取什么措施？,原因是在名称的传输中，传输的名称已经被改变成为了不充分的字节数。解决方法是通过属性通信读取或者写入名称的精确长度，以确保操作正确完成。
主轴:传输的名称编号太多的原因是什么？应该采取什么措施？,原因是在名称的传输中，传输的名称已经被改变成为了过多的字节数。解决方法是通过属性通信读取或者写入名称的精确长度，以确保操作正确完成。
主轴:不能改变名称的原因是什么？应该采取什么措施？,原因是试图修改 ID 号的名称，但从动装置不认可。解决方法是该操作无法实现，因为从动装置的软件不支持此功能。
主轴:此相位数值写保护的原因是什么？应该采取什么措施？,原因是试图修改 ID 号的名称，但从动装置的相位不认可。解决方法是咨询从动装置制造商，在哪个相位可以修改名称。
主轴属性:传输的编号不足的原因是什么？应该采取什么措施？,原因是在属性的传输中，传输的属性已经被改变成为了不充分的字节数。解决方法是SERCOS已经为属性建立了 4 个字节的固定长度。
主轴属性:传输的编号太多的原因是什么？应该采取什么措施？,原因是在属性的传输中，传输的属性已经被改变成为了过多的字节数。解决方法是SERCOS已经为属性建立了 4 个字节的固定长度。
主轴:程序定时器错误的原因是什么？应该采取什么措施？,原因是驱动器上的程序定时器测试错误。解决方法是更换驱动器。
主轴:电流控制转换 A/D 错误的原因是什么？应该采取什么措施？,原因是驱动器转换错误。解决方法是更换驱动器。
主轴:电流控制器同步错误的原因是什么？应该采取什么措施？,原因是电流驱动器同步错误。解决方法是更换驱动器。
主轴:延时错误的原因是什么？应该采取什么措施？,原因是轴运动的无命令错误。解决方法是检查机床机械装置。
主轴:超速错误的原因是什么？应该采取什么措施？,原因是速度超过限定速。解决方法是检验命令的速度不超过用 S-0-0091 输入的限定值。
主轴:速度控制器同步错误的原因是什么？应该采取什么措施？,原因是驱动器速度控制错误。解决方法是检查编译码器的电缆，如果需要，更换模板。
货盘必须手动装/卸的原因是什么？应该采取什么措施？,原因是机械手状态和执行操作指示。解决方法是执行装或者卸操作，也就是重新按下启动键 VIA。
工件库门已开，机械手不在自动状态的原因是什么？应该采取什么措施？,原因是机械手状态和执行操作指示。解决方法是关闭工件库门，将机械手状态指示在自动模式。
机械手不在自动模式，工件库门已关闭的原因是什么？应该采取什么措施？,原因是机械手状态和执行操作指示。解决方法是将机械手状态指示在自动模式。
机械手在收到的指令下运行的原因是什么？应该采取什么措施？,原因是机械手状态和执行操作指示。解决方法是等待发送给机械手的完整加工命令。
机械手正执行一命令的原因是什么？应该采取什么措施,原因是机械手状态和执行操作指示。解决方法是用于恢复操作，必须重新启动机械手。
G663 或 G665 编程中为什么禁止未指定三轴 XYZ 坐标？应该采取什么措施？,原因是在含有 G663 或 G665 编程语句中，未指定三轴 XYZ 坐标。这可能在程序部分段执行或检查中发现未指定的 G663 或 G665 编程。解决方法是修改程序部分段，在 G663 或 G665 编程中输入移动的 XYZ 坐标或正确的偏置值。
G661 报错表示比例加工定义文件不正确，为何会出现这种情况？应该怎么解决？,出现此报错可能是由于在 G661 语句中指定的文件输入方式不正确。文件结构可能存在问题，例如可能存在字符'='的遗漏，最大定义了4个坐标，在同一轴上定义了区域，最多定义了3个比例加工，或在增加的原点中定义了区域。解决方法是根据图解规范修改尺寸文件，确保文件定义符合规范要求。
G661 报错中提到未找到特定的行，为什么会出现这个问题？应该如何处理？,出现此报错可能是因为在 G661 语句指定的文件中不存在特定的语句行，该行应该包含比例加工所定义的文件和范围，可调用之后的某些语句行。解决方法是检查语句中的行和文件中的行，确保两者一致。
为什么同步转台报告同步测量失败？如何处理这个问题？,同步转台报告同步测量失败可能是由于在机床两相连的转台上，执行测量循环得到的两个值不同，这表明两相连转台位置上的差异超过了允许的极限。解决方法是检查两个转台的测量通道，验证两个转台的动力学响应，并重新执行系列程序。
M1320 报错表示刀具长度低于最小标准，为什么会出现这个问题？应该采取什么措施？,刀具长度低于最小标准报错可能是因为安装在机床中的刀具未通过长度的尺寸控制。解决方法是检查刀具参数表中的长度尺寸与语句中的值进行比较，确保刀具长度符合要求。
为什么会出现 M1320 报错表示刀具直径在公差之外？如何处理这个问题？,刀具直径在公差之外的报错可能是由于安装在机床中的刀具未通过半径的尺寸控制。解决方法是检验刀具参数表中的半径尺寸与语句中的值进行比较，确保刀具直径符合规定范围内的公差。
错误CNC 侧面的 E1057 模板未被配置的原因是什么？应该采取什么措施？,原因是插入在CNC侧面的E1057模板需要重新配置。解决方法是重新启动机床，检查配置表格和CanOpen结的通讯状态。
错误CNC 侧面的 E1057 模板未被操作的原因是什么？应该采取什么措施？,错误代码0556表示插入在CNC侧面的E1057模板未在操作相位。解决方法是重新启动机床，检查配置表格和CanOpen结的通讯状态。
连接CNC侧面的E1039模板上的RS232时出现传输和/或接收错误的原因是什么？应该采取什么措施？,原因是在CNC侧面的E1039模板上的RS232交换数据线路中检验出错误。解决方法是检验连接RS232的电缆通讯状态，检验连接E1039模板的RS232的功能状态，并重新启动机床。
连接CNC侧面的E1039模板上的CanOpen时出现传输和/或接收错误的原因是什么？应该采取什么措施？,原因是在CNC侧面的E1039模板上的CanBus交换数据线路中检验出错误。解决方法是检验连接CanBus的电缆通讯状态，检验连接E1039模板的CanBus的功能状态，并重新启动机床。
连接CNC侧面的E1057模板上的CanOpen时出现传输和/或接收错误的原因是什么？应该采取什么措施？,原因是在CNC侧面的E1057模板上的CanOpen交换数据线路中检验出错误。解决方法是检验连接CanOpen的电缆通讯状态，检验连接E1057模板的CanOpen的功能状态，并重新启动机床。
主轴没有达到转速是什么意思？,当执行主轴旋转时，编程的速度没有达到预定的速度。
轴在抑制状态或者刀库安全开关失效是什么原因？,出现轴在抑制状态或者刀库安全开关失效可能是功能微动开关 SQ01 - SQ13 - SQ14 - SQ28出现故障。
如何解决主轴电机励磁过载触发的问题？,需要更换热敏开关 QF9，或者联系CBFERRARI公司进行维修。
为什么主轴电机会过热？,主轴电机过热可能是由于超过规格限制使用主轴，或者电机冷却风扇不正常工作引起的。记住定期更换过滤网。
控制电压过载触发是什么原因？,控制电压过载触发可能是辅助电源保护热敏开关过热（QF02）或空调热敏开关过热（QF07），或者控制电子柜内部温度过高（设置在45°时）引起的。
主轴保险丝熔断的原因是什么？,主轴保险丝熔断可能是电源供给系统出现故障或主轴驱动器保险丝熔断（FU01）的原因。
什么情况下会出现数控系统急停？,数控系统急停可能是由PLC发出紧急请求，或检测到CNC系统内部故障引起的。
主轴功率吸收量过载是什么情况？,当主轴电流吸收量在机床刀具配置的固定时间内超过了120%的极限（系统默认值为5秒），就会显示主轴功率吸收量过载的信息。
什么导致刀具功率极限报警？,当对旋转主轴进行了控制和限制功率百分比编程时，如果加工超过了限制固定的功率，CNC系统会显示刀具功率极限报警的信息。
驱动主轴被锁或者保险丝被熔断怎么解决？,对于CC和CA型主轴，需检查供给系统和主轴驱动器的保险丝（FU01），并进行驱动主轴的诊断。
发生警告“X轴滚柱导轨于位置外”的故障是什么原因？如何解决？,警告“X轴滚柱导轨于位置外”表示X轴滚柱滑块从V型槽中滑出。解决方法是与C B FERRARI技术部门联系进行修理。
如何处理警告“Z轴滚柱导轨于位置外”的故障？,处理方法与X轴类似，即Z轴滚柱导轨滑块从位置中滑出时，需要进行修理。
什么原因导致主轴风扇过载跳闸？如何检查和解决？,主轴风扇过载跳闸可能是由于热敏开关QM02故障引起的。可以检查并更换QMO2（用于电机DC）或QM06（用于电机AC）。
如何处理交流电机过载跳闸的故障？,交流电机过载跳闸可能是由于热敏开关QM01故障引起的。可以检查并更换QM01以解决问题。
主轴的气压不足是什么原因导致的？如何检查和解决这个问题？,主轴的气压不足可能是由于压力开关SP01-SP12-SP13故障或气压不达标引起的。可以检查和调整气压开关，确保设备气压大于或等于5bar。
如何处理油雾润滑油箱已空的故障？,油雾润滑油箱已空的警告仅适用于安装有油雾式润滑系统的机床。可以检查油位并确保油位传感器SL01正常工作。
驱动轴被锁的故障是怎么回事？如何确定故障类型和解决？,驱动轴被锁可能有多种原因。为了确定故障类型，可以参考机床附带的常规手册，并检查热敏开关QF10、QF12、QF28（如果有第二个cestello assi）、模拟轴或QF17-QF28数字轴。
如何处理挡板开启的故障？,挡板开启的问题可以通过打开并关闭门来解决。同时，还需要检查微动开关SQ59和SQ86的功能和电气连接。对于"S"型机床，还需要检查微动开关SQ97和SQ86。
主轴吸尘器过载跳闸应该如何处理？,主轴吸尘器过载跳闸可能是由于热敏开关QM04故障引起的。可以更换热敏开关QM04并检查电机吸收量来解决问题。
在进行清洗循环之前，为什么要先从套筒中卸下刀具？如何解决这个问题？,在进行自动清洗工件时，如果仍然装有刀具在主轴中，会显示“从套筒中卸下刀具”的警告。解决方法是检查微动开关SQ07是否正常工作，并确保主轴套筒为空。
错误移动手轮1的原因是什么？应该采取什么措施解决？,错误移动手轮1可能是因为第一个手轮移动得太快或第一个手轮测量通道有故障。解决方法是更缓慢地移动手轮并检查手轮的硬件。
错误移动手轮2是由什么原因引起的？如何处理这个问题？,错误移动手轮2可能是因为第二个手轮移动得太快或第二个手轮测量通道有故障。解决方法是更缓慢地移动手轮并检查手轮的硬件。
配置中校验出错(chncos)的原因是什么？如何解决？,配置中校验出错(chncos)可能是由于安装在固定存储器中的配置校验故障导致的。解决方法是重新安装配置并更换固定存储器卡。
原点和刀具的校验出错(tablav)是什么原因引起的？如何处理？,原点和刀具的校验出错(tablav)可能是由于固定存储器中刀具参数表的原点和刀具校验故障引起的。解决方法是重新安装配置、永久存储器全部复位和更换固定存储器卡。
主轴测量不稳定的原因是什么？如何恢复连接？,主轴测量不稳定可能是由于主轴测量通道故障（例如电缆线断开）引起的。恢复连接即可解决问题。
主轴于控制外是什么原因导致的？如何处理？,主轴于控制外的原因可能是定位过程中主轴实际反应不符合预期。处理方法包括检查配置中旋转步骤(M3-M4)和检查测量通道。
测量仪测量出错的原因是什么？应该采取什么措施？,测量仪测量出错可能是由于运动符号与测量仪的偏差符号相同引起的。解决方法包括检验配置的偏差符号是否正确、检查对刀仪的测量通道和检查测量仪的蘑菇测头是否在静止状态。
为什么必须在类型"2"中定义原点？如何重新配置？,在使用G746或G748对工作台和倾斜工作台进行编程时，必须将坐标轴的原点定义为类型2。解决方法是将工作台或倾斜工作台的坐标轴原点重新定义为类型2，并重新配置。
程序行"CNC"错误是什么原因引起的？如何解决？,程序行"CNC"错误可能是由于插补器达到轴的移动代码，但未指定运动的轴引起的。解决方法是更换CPU-CN卡。
轮廓编程长于程序行的原因是什么？如何处理这个问题？,轮廓编程长于程序行可能是因为执行完成程序行时未执行中间的辅助功能引起的。解决方法包括检查机床逻辑并人为修改执行。
主轴套筒中的刀具与搜索到的刀具不相符是什么原因？如何解决？,主轴套筒中的刀具与搜索到的刀具不相符可能是因为使用了与安装在套筒中不同的刀具进行加工。解决方法是将套筒中的刀具更换为搜索到的刀具，并重复语句搜索操作，更换必须通过程序自动执行。
主轴套筒空，但搜索到的刀具号不为’0’是什么原因？应该采取什么措施？,主轴套筒空，但搜索到的刀具号不为’0’可能是因为在机床空的情况下，使用了套筒内的刀具进行加工。解决方法是通过程序自动安装已搜索到的刀具，并重复语句搜索操作。
CU搜索下一刀具是什么意思？需要采取什么措施？,CU搜索下一刀具并不是错误信息，它表示从语句搜索再进入到指定的操作中（用于BLUM型CU）。无需采取额外措施，当操作结束时，该信息会消失。
用于复制的工作台配置出错的原因是什么？如何解决？,用于复制的工作台配置出错可能是因为在执行复制循环时，旋转轴（G769、G775、G777或G779）未以正确的方式配置。解决方法包括将所有旋转轴配置为与工作台相同，并确保配置的工作台仅可绕X轴作圆周旋转。
加速度等于0是什么原因引起的？应该采取什么措施？,加速度等于0可能是因为试图移动一个加速度配置为0的轴。解决方法包括插入一个合适的加速度值并重新安装配置。如果在机床手动方式下，可手动插入参数值"加速度max_man"；如果在机床自动方式下，可手动插入参数值"加速度max_cnc"。
传感器转换出错的原因是什么？如何解决？,传感器转换出错可能是由于温度传感器上的信号转换成的值不正确。解决方法包括检查温度传感器上的信号，并检查是否存在信息过多或信号被中断的情况。
极限行程保护的插补器停止是什么原因？应该采取什么措施？,极限行程保护的插补器停止可能是因为一个或多个机床轴在编程时越过了极限行程。解决方法是编程使轴不移动越过极限行程，以避免插补器停止。
加速度过大的原因是什么？应该采取什么措施？,加速度过大可能是因为在testassi类型1中执行正弦曲线方式移动轴时，配置的加速度值过大。解决方法是减少配置的加速度值，直至系统最大可接受的值。
复制的测定平面出错是什么原因？如何解决？,复制的测定平面出错可能是因为在进行复制或刀具自动对零时，机床在未接触工件或测量仪的情况下超过了复制极限。解决方法包括修改机床轴的起始位置，使其能接触工件或测量仪。
探测器配置出错的原因是什么？如何解决？,探测器配置出错可能是因为在进行复制或刀具自动对零时，机床在未接触工件或测量仪的情况下超过了复制极限。解决方法是修改机床轴的起始位置，使其能接触工件或测量仪。
偏差过大的原因是什么？如何解决？,偏差过大可能是由于探测器或测量仪的测量偏差超过了最大允许的偏差。解决方法包括检查配置中的最大允许偏差是否正确，检查仪器中的乘数系数（倍数）是否正确，以及检查仪器的测量通道是否存在故障。
用于轴停止:M10{轴} 用于轴的退出:M11{轴}是什么意思？需要采取什么措施？,用于轴停止:M10{轴}和用于轴的退出:M11{轴}是功能指令，在G31或G41/G42指令下编程时，移动了不相结合的轴。解决方法是所有相关轴的移动必须使用功能M11解开锁紧轴编程，在开始加工执行G31或G41/G42之前，必须至少编程一次，需要修改程序的某些部分段以实现这个条件。
存储器已满的原因是什么？应该采取什么措施？,存储器已满可能是由于存储器中可利用的缓冲区被测量轮廓填满，导致PC无法将缓冲内容存储在磁盘上。解决方法包括避免PC机与其他同时工作的程序一起工作，如果仍然存在问题，则需要更换PC机。
G60循环编程切入点出错的原因是什么？如何解决？,G60循环编程切入点出错可能是因为将机床置于错误的位置检查工件。解决方法是利用程序修改另一个检查起始位置，确保机床位置正确。
步距限定不认可(G68)是什么意思？该如何处理？,步距限定不认可(G68)表示步距的限定值不被识别。解决方法是使用正确的循环方式进行编程，以确保步距的限定被正确识别。
'C’轴值不为2.5度的倍数是什么原因？如何解决？,'C’轴值不为2.5度的倍数可能是由于摆头’C’的分度旋转头所处位置不在2.5度的倍数上。解决方法是进入TEST ASSI模式，将分度头放置在正确的位置上进行校准。
探测器未连接和/或未被校准的原因是什么？应该采取什么措施？,探测器未连接和/或未被校准的原因可能是想执行工件测量循环指令时使用的探测器没有经过校准。解决方法包括如果使用点动探测器ON-OFF，则执行校准循环；如果使用三维立体续动探测器RENISHAW，则需要将电缆连接到探测器上进行校准。
选择的轴不执行测量循环是什么原因？应该采取什么措施？,选择的轴不执行测量循环可能是因为想要利用未预知的轴进行工件测量循环。解决方法是工件测量循环只能使用X、Y和Z轴来实现，所以只能选择这些轴进行测量循环。
来自PLC的信息是什么意思？应该采取什么措施？,来自PLC的信息表示PLC向操作者传达状态条件或请求。解决方法是阅读信息（按下F4键）并执行相应的请求。
再电气调整R2-R1轴至正确相位的原因是什么？如何处理这个问题？,再电气调整R2-R1轴至正确相位的原因是轴编码器测量速度较慢与电机编码器测量值之间的偏差超过了所允许的值。解决方法包括进行电气调整操作（SHIFT F9，然后F1）以调整轴的相位，并检查该轴的测量通道。
为什么再电气调整R1-R0轴至正确相位？如何处理这个问题？,再电气调整R1-R0轴至正确相位的原因是轴编码器测量速度过快与电机编码器测量值之间的偏差超过了认可值。解决方法是查阅电气调整操作，包括按下SHIFT键和F9键，然后再按下F1键。
测量超出极限的原因是什么？应该采取什么措施？,测量超出极限的原因可能是测量轴的移动速度超过系统允许的速度，或者固定存储器上的测量结果已被清除。解决方法包括进入TEST-ASSI模式，以获得新的位置来检查该轴的测量通道。
轴不在坐标内的原因是什么？如何解决？,轴不在坐标内的原因可能是指定的轴未按照命令要求更新其位置。解决方法包括检查轴的位置偏移（使用SHIFT F9，然后F3键），检查配置中的参数’轴极限’，以及检查每个轴的测量通道和电机指令通道。
轴插补器的数字误差是什么原因？如何解决？,轴插补器的数字误差可能是由插补器计算精度引起的。解决方法包括更换CPU-CN卡。
轴移动误差的原因是什么？应该采取什么措施？,轴移动误差的原因是指定的位置和测得的位置之间的误差大于最大允许值。解决方法包括降低轴的移动速度，设置轴的动态响应，并检查轴是否能在被激活后移动（结合）。
超过轴负方向极限行程的原因是什么？应该采取什么措施？,超过轴负方向极限行程的原因可能是轴已经到达最大负方向值，并且无法越过该值。解决方法包括进入手动模式，使轴从负方向极限行程移开，沿着正方向运动，并检查涉及到的极限行程测量和轴的测量通道。
超过轴正方向极限行程的原因是什么？如何解决？,超过轴正方向极限行程的原因可能是轴已经到达最大正方向值，并且无法越过该值。解决方法包括进入手动模式，使轴从正方向极限行程移开，沿着负方向运动，并检查涉及到的极限行程测量和轴的测量通道。
功能’G’不兼容是什么原因？该如何处理？,功能’G’不兼容可能是因为在编程语句中，多个G指令无法同时使用。解决方法是修改编程语句，将两个G指令分别写入不同的语句中。
功能’G’未知的原因是什么？应该如何处理？,功能’G’未知可能是因为编程的功能’G’是未经过验证的功能。解决方法是取消该字节中的功能’G’。
编程字符无效的原因是什么？应该采取什么措施？,编程字符无效的原因可能是对未配置的轴代码或未知功能进行编程。解决方法是清除语句中的无效功能。
重复循环数值’H’=0的原因是什么？如何解决？,重复循环数值’H’=0的原因是使用了不允许的数值对’H’功能进行编程。解决方法是必须使用1至9999之间的数值进行重复循环编程。
