questions,answers
什么是直线控制系统，它如何工作？,直线控制系统是指数控系统不仅控制刀具或工作台从一个点准确地移动到另一个点，而且保证在两点之间的运动轨迹是一条直线的控制系统。移动部件在移动过程中进行切削。
轮廓控制系统是什么，它的特点是什么？,轮廓控制系统也称连续控制系统，是指数控系统能够对两个或两个以上的坐标轴同时进行严格连续控制的系统。它不仅能控制移动部件从一个点准确地移动到另一个点，而且还能控制整个加工过程刀具在加工每一 点的速度与位移量，将零件加工成一定的轮廓形状。
开环控制系统是什么，它的工作原理是什么？,开环控制系统是指不带反馈装置的控制系统。它是根据穿孔带上的数据指令，经过控制运算发出脉冲信号，输送到伺服驱动装置（如步进电动机）使伺服驱动装置转过相应的角度，然后经过减速齿轮和丝杠螺母机构，转换为移动部件的直线位移。由于开环控制系统不具有反馈装置，不能进行误差校正，因此系统精度较低（±0.02mm）。
什么是开环控制系统，它有什么优点？,开环控制系统是一种结构简单、工作稳定、使用维修方便且成本低的控制系统。
什么是半闭环控制系统，它的工作原理是什么？,半闭环控制系统在开环控制系统的伺服机构中装有角位移检测装置，通过检测伺服机构的滚珠丝杠转角，间接检测移动部件的位移，然后反馈到数控装置的比较器中，与输入原指令位移值进行比较，用比较后的差值进行控制，使移动部件补充位移，直到差值消除为止的控制系统。
什么是闭环控制系统，它的工作原理是什么？,闭环控制系统是在机床移动部件位置上直接装有直线位置检测装置，将检测到的实际位移反馈到数控装置的比较器中，与输入的原指令位移值进行比较，用比较后的差值控制移动部件作补充位移，直到差值消除时才停止移动，达到精确定位的控制系统。
开环控制系统、半闭环控制系统和闭环控制系统在定位精度上有什么区别？,开环控制系统由于没有位置反馈，精度无法保证。半闭环控制系统虽然比开环控制系统精度高，但由于传动丝杠螺母机构的误差仍然会影响移动部件的位移精度，因此精度不如闭环控制系统。闭环控制系统由于在机床移动部件位置上直接装有直线位置检测装置，能够实现高精度的定位控制。
什么是立式数控铣床，它主要用于什么加工？,立式数控铣床是主轴和工作台垂直的数控铣床，主要用于加工水平面内的形面。
立式数控铣床的规格分为哪些，各有什么特点？,一般规格较小的立式数控铣床，工作台宽度多在400mm以下，采用工作台移动、升降，主轴不动的方式。中型立式数控铣床一般采用纵向和横向工作台移动方式，主轴沿垂向溜板上下运动。规格较大的数控铣床，如工作台宽度在500mm以上，往往采用龙门架移动式。
立式数控铣床的运动形式是什么？,立式数控铣床多为主轴沿垂向溜板上下运动，龙门架沿床身作纵向运动。
什么是三坐标联动机床，什么是两轴半控制铣床？,三坐标联动机床可以同时控制三个坐标轴运动。两轴半控制铣床只能同时控制三个坐标中的两个坐标联动，第三个坐标轴只能沿一个方向作等距离的周期移动。
立式数控铣床可以控制多少个坐标轴运动，控制的坐标轴数量与什么有关？,立式数控铣床可以控制三个或更多个坐标轴运动，控制的坐标轴数量越多，机床的功能、加工范围及可选择的加工对象也越多，机床的结构更复杂，对数控系统的要求更高，编程的难度更大，设备价格也更高。
立式数控铣床可以附加哪些装置来提高生产率和扩大加工范围？,立式数控铣床可以采用数控自动交换工作台来减少零件装卸的生产准备时间或增加主轴数量。还可以增加靠模装置以扩大加工范围，或采用气动或液压夹具来实现自动化装夹，以提高生产率。
卧式数控铣床采用什么装置来实现4、5坐标加工？,卧式数控铣床采用增加数控转盘或万能数控转盘来实现4、5坐标加工。
立卧两用式数控铣床有什么特点？,立卧两用式数控铣床的主轴方向可以更换或作90°旋转，可以在一台机床上既能进行立式加工，又能进行卧式加工。主轴方向的更换方法有手动和自动两种，可以配上数控万能主轴头，主轴头可以任意转换方向，柔性极好。适合加工复杂的箱体类零件。
数控铣床按照体积可以分为哪些类型？,数控铣床按照体积可以分为小型数控铣床、中型数控铣床和大型数控铣床。
内装PLC的低档数控系统有哪些特点？,低档数控系统一般无PLC，而中、高档的都有内装PLC。
主CPU在低档、中档和高档数控系统中分别采用什么？,低档数控系统一般采用8bit CPU，中、高档的已经逐步由16bit CPU向32bit CPU过渡，国外一些新的数控系统甚至已选用了64bit CPU。
经济型数控系统的主要应用领域是什么？,经济型数控系统主要用于线切割机床及旧机床的改造等。
数控铣床的应用领域是什么？,数控铣床主要用于加工平面和曲面轮廓的零件，还可以加工复杂型面的零件，如凸轮、样板、模具、螺旋槽等。同时也可以对零件进行钻、扩、铰、锪和镗孔的加工，但因数控铣床不具备自动换刀功能，所以不能完成复杂孔的加工要求。
2.1 平面类零件的加工特点是什么？,目前，数控铣床上加工的绝大部分零件是平面零件，这类零件的特点是各个加工表面是平面或者是可以展开为平面。
如何加工加工面与水平面夹角连续变化的斜平面（变斜角）？,   可利用数控铣床的摆角加工功能进行加工。
数控铣床由哪些部分组成？,   数控铣床由控制介质、数控装置、伺服系统和机床本体组成。
如何构成闭环控制的数控机床框图？,   在上述系统中再加入一个测量装置（即图1—13中的虚线部分），这样就构成了闭环控制的数控机床框图。
开环控制系统的工作过程是怎样的？,   将控制机床工作台运动的位移量、位移速度、位移方向、位移轨迹等参量通过控制介质输入给机床数控装置，数控装置根据这些参量指令计算得出进给脉冲序列，然后经伺服系统转换放大，最后控制工作台按所要求的速度、轨迹、方向和距离移动。
什么是控制介质，它在数控铣床中的作用是什么？,控制介质是指在人和数控铣床之间建立联系的媒介物，用于输入指令值和反馈检测机床工作台的实际位移值。在数控铣床上加工时，需要将加工零件所需的全部动作及刀具相对于工件的位置等内容，用数控装置能接受的数字文字代码表示，并储存在控制介质上。控制介质可以是穿孔带、穿孔卡、磁带、磁盘或其他可以储存代码的载体。
数控装置在数控铣床中的作用是什么？,数控装置是数控铣床的中枢，一般由输入装置、存储器、控制器、运算器和输出装置组成。它接收输入介质的信息，将其代码加以识别、储存、运算，并输出相应的指令脉冲以驱动伺服系统，进而控制机床动作。
什么是伺服系统，它的作用是什么？,伺服系统的作用是把来自数控装置的脉冲信号转换为机床移动部件的运动，使工作台（或溜板）精确定位或按规定的轨迹作严格的相对运动，最后加工出符合图纸要求的零件。因此伺服系统的性能是决定数控铣床的加工精度、表面质量和生产率的主要因素之一。
什么是脉冲当量，它与伺服系统有什么关系？,相对于每个脉冲信号，机床移动部件的位移量叫做脉冲当量（用δ来表示）。常用的脉冲当量为0.01mm/脉冲、0.005mm/脉冲及0.001mm/脉冲。脉冲当量与伺服系统的精度有关，决定了机床的加工精度。
数控铣床中的机床本体包括哪些机械部件？,机床主机是数控铣床的主体，它包括床身、底座、立柱、横梁、滑座、工作台、主轴箱、进给机构、刀架等机械部件。它是在数控铣床上自动地完成各种切削加工的机械部分。
什么是排屑装置，它的作用是什么？,排屑装置是将切屑从加工区域排出、迅速有效地排除切屑的辅助装置，是保证数控铣床高效率自动进行切削加工的必备辅助装置。
回转工作台和数控分度头在数控铣床中起到什么作用？,回转工作台和数控分度头能按照数控装置发出的指令信号作连续的回转进给运动或回转分度运动，是加工中心、数控铣床中常用的辅助装置。
数控铣床的工作原理是什么？,在数控铣床工作前，要预先根据被加工零件的要求确定零件加工工艺过程、工艺参数，并按一定的规则形成数控系统能理解的数控加工程序。将此加工程序输入到数控铣床的数控装置中，即可启动机床运行数控加工程序。在运行过程中，数控装置会发出各种控制命令，如启动主轴电机、打开冷却液，同时向执行单元发出数字位移脉冲并进行进给速度控制，直到程序运行结束，零件加工完毕为止。
如何设计数控铣床的加工程序？,根据被加工零件图中所规定的零件形状、尺寸、材料及技术要求等，制定工件加工的工艺过程、刀具相对工件的运动轨迹、切削参数及辅助动作顺序等，进行零件加工的程序设计。
什么是数控加工程序，它提供了什么信息？,数控加工程序提供了刀具运动的起点、终点和运动轨迹。
数控系统的插补装置或插补软件控制什么？,数控系统的插补装置或插补软件控制刀具怎么从起点沿运动轨迹走向终点。
为什么采用直线和圆弧插补来逼近零件轮廓曲线？,对于复杂的曲线轮廓，直接计算刀具运动轨迹非常复杂，计算工作量很大，不能满足数控加工的实时控制要求。
早期的数控系统中，插补是如何实现的？,在早期的数控系统中，插补是由专门设计的硬件数字电路完成的。
现代CNC系统中，常用的插补实现方法有哪些？,现代CNC系统中，常用的插补实现方法有两种：一种由硬件和软件的结合来实现；另一种全部采用软件实现。
插补的任务是什么？,插补的任务是根据进给速度的要求，完成在轮廓起点和终点之间的中间点的坐标值计算。
插补运算对于轮廓控制系统的重要性是什么？,插补运算对于轮廓控制系统来说，是最重要计算任务。
插补运算的实时性对机床控制有什么影响？,插补运算对机床控制必须是实时的，以保证系统的正常运行。
插补运算速度和系统控制速度有什么关系？,插补运算速度直接影响系统的控制速度。
插补计算精度对整个CNC系统有什么影响？,插补计算精度影响到整个CNC系统的精度。
脉冲增量插补法适用于哪种类型的数控系统？,脉冲增量插补法适用于以步进电动机为驱动装置的开环数控系统。
脉冲增量插补法的特点是什么？,脉冲增量插补法的特点是每次插补的结果仅产生一个行程增量，以一个个脉冲的方式输出给步进电动机。
脉冲增量插补的实现方法是什么？,脉冲增量插补的实现方法较简单，通常仅用加法和移位就可完成插补。
脉冲增量插补算法一般需要执行多少条指令？,用软件实现的脉冲增量插补算法一般要执行20多条指令。
计算一个脉冲当量所需的时间大约为多少？,如果CPU的时钟频率为5MHz，计算一个脉冲当量所需的时间大约为40μs。
当脉冲当量为0.001mm时，可以达到的坐标轴极限速度为多少？,当脉冲当量为0.001mm时，可以达到的坐标轴极限速度为1.5m/min。
要控制两个或两个以上坐标，且承担其他必要的数控功能时，所能形成的轮廓插补进给速度会如何变化？,所能形成的轮廓插补进给速度将进一步降低。
如何保证一定的进给速度？,如果要求保证一定的进给速度，只能增大脉冲当量。
增大脉冲当量会带来什么后果？,增大脉冲当量会使精度降低。
什么是PC—CNC系统，它在计算机数控中扮演什么角色？,PC—CNC系统是小巧、廉价的基于微机的计算机数控系统，已成为计算机数控的主流。这种系统具有不同的结构形式，可以实现数控功能，提高插补速度和插补精度。
常用的PC—CNC系统有哪些结构形式？,常用的PC—CNC系统结构形式包括基于软、硬件结合两级插补方案的单微机CNC系统、基于分布式多微机CNC系统和基于单台高性能微机的CNC系统。
第①种和第③种结构形式的PC-CNC系统分别适合于哪种类型的数控系统？,第①种结构形式的PC-CNC系统适合于高速、高精度、多坐标（指四坐标以上）高档数控系统，而各种类型的三坐标数控系统适合于第③种结构形式的PC-CNC系统。
为什么第③种结构形式的数控系统成本最低？,第③种结构形式的数控系统成本最低，因为它主要由通用的微处理器和可编程控制器组成，不需要专用的硬件。
早期的数控铣床与普通铣床相比有哪些不同？,早期的数控铣床与普通铣床相比，主要是进给系统采用了数控伺服系统替代了传统的机械进给系统，但外形和结构基本相同。
经济型数控铣床是如何发展起来的？,经济型数控铣床是在普通铣床的总体结构基础上经局部改进而发展起来的，所以它们在外形和结构上与普通铣床相似。
数控铣床的机械结构主要由哪些部分组成？,数控铣床的机械结构主要由主传动系统、进给系统、控制系统、辅助装置和床身等部分组成。
什么是进给传动系统，它的作用是什么？,进给传动系统包括动力源、传动件及进给运动执行件（工作台、刀架）等，它的作用是将伺服驱动装置的运动与动力传给执行件，以实现进给切削运动。
基础支承件包括哪些部件，它们的作用是什么？,基础支承件包括床身、立柱、导轨、滑座、工作台等，它们的作用是支承机床的各主要部件，并使它们在静止或运动中保持相对正确的位置。
辅助装置在数控机床中的作用是什么？,辅助装置视数控机床的不同而异，如自动换刀系统、液压气动系统、润滑冷却装置等，它们为数控机床的正常运行提供支持。
XK5040A型数控铣床的床身固定在哪个部件上？,XK5040A型数控铣床的床身6固定在底座1上。
操纵台上有什么设备和开关？,操纵台上包括显示器、机床操作按钮和各种开关及指示灯。
进给伺服电动机如何驱动执行件实现坐标进给？,进给伺服电动机通过驱动纵向工作台16、横向溜板12上的纵向进给伺服电动机13、横向进给伺服电动机14和垂直升降进给伺服电动机4，完成X、Y、Z坐标进给。
强电柜中装有什么部件？,强电柜2中装有机床电气部分的接触器、继电器等。
数控柜内装有什么部件？,数控柜7内装有机床数控系统。
"保护开关8,11的作用是什么？","保护开关8,11可控制纵向行程硬限位。"
挡铁9的作用是什么？,挡铁9为纵向参考点设定挡铁。
主轴变速手柄和按钮板5的作用是什么？,主轴变速手柄和按钮板5用于手动调整主轴的正转、反转、停止及切削液开停等。
什么是铣床的静刚度和动刚度？,铣床在静态力作用下所表现的刚度称为铣床的静刚度；铣床在动态力作用下所表现的刚度称为铣床的动刚度。
柔度是什么，与刚度有什么关系？,在铣床性能测试中常用铣床柔度来说明铣床的该项性能，柔度是刚度的倒数。
与普通铣床相比，数控铣床需要具备哪些特点？,与普通铣床比较，数控铣床应有更高的静、动刚度，更好的抗振性，以满足数控铣床高速度、高精度、高生产率、高可靠性和高自动化的
什么是铣床的热变形，它对铣床加工精度有何影响？,铣床的热变形是影响铣床加工精度的重要因素之一。由于数控铣床主轴转速、进给速度远高于普通铣床，而大切削量产生的炽热切屑对工件和铣床部件的热传导影响远比普通铣床严重。而热变形对加工精度的影响，操作者往往难以修正。
