questions,answers
本章将介绍哪些关于数控机床的内容？,本章将介绍数控机床的产生与发展，数控机床的组成，数控机床的主要性能指标，并对西门子数控系统做简要介绍。
什么是数控机床？,数控机床（Numerical Control Machine Tools）是用数字代码形式的信息（程序指令）控制刀具按给定的工作程序、运动速度和轨迹进行自动加工的机床。
第一台三坐标数控铣床是什么时候试制成功的？,第一台三坐标数控铣床是在1952年由美国帕森斯公司与美国麻省理工学院（MIT）试制成功的。
什么是加工中心（MC，Machining Center）？,加工中心（MC，Machining Center）是带自动换刀装置的数控机床，使数控装置进入了第二代。
第三代数控装置的特点是什么？,第三代数控装置（集成电路数控装置）的特点是体积小、功率消耗少、可靠性提高和价格进一步下降。
什么是直接数控系统（简称 DNC）？,直接数控系统（简称 DNC）是采用一台计算机直接控制多台机床的系统，又称群控系统。
什么是计算机数控系统（简称CNC）？,计算机数控系统（简称CNC）是采用小型计算机控制的数控装置，使数控装置进入了以小型计算机化为特征的第四代。
在1974年研制成功的第五代数控系统是什么？,年研制成功使用微处理器和半导体存储器的微型计算机数控装置（简称 MNC），这是第五代数控系统。
世纪80年代初的数控装置有哪些特点？,世纪80年代初，随着计算机软、硬件技术的发展，出现了能进行人机对话式自动编制程序的数控装置，数控装置愈趋小型化，可以直接安装在机床上；数控机床的自动化程度进一步提高，具有自动监控刀具破损和自动检测工件等功能。
世纪90年代后期出现的智能数控系统是什么？,世纪90年代后期，出现了PC+CNC智能数控系统，即以PC机为控制系统的硬件部。
利用数控机床完成零件数控加工的过程主要包括哪些步骤？,利用数控机床完成零件数控加工的过程如图1.1所示，主要内容如下。①根据零件加工图样进行工艺分析，确定加工方案、工艺参数和位移数据。②用规定的程序代码和格式编写零件加工程序单，或用自动编程软件进行CAD／CAMI作，直接生成零件的加工程序文件。③程序的输入或传输。由手工编写的程序，可以通过数控机床的操作面板输入，由编程软件生成的程序，通过计算机的串行通信接口直接传输到数控机床的数控单元（MCU）。④将输入／传输到数控单元的加工程序进行试运行、刀具路径模拟等。⑤通过对机床的正确操作，运行程序，完成零件的加工。
数控机床一般由哪些部分组成？,数控机床一般由数控系统、包含伺服电动机和检测反馈装置的伺服系统、强电控制柜、机床本体和各类辅助装置组成，如图1.2所示。
什么是控制介质，它在数控机床中的作用是什么？,控制介质是人与机床之间建立联系的媒介，保存着加工零件所必需的全部操作和刀具移动、工件移动信息。
数控装置在数控机床中的作用是什么？,数控装置是机床实现自动加工的核心，是整个数控机床的灵魂所在。主要由输入装置、监视器、主控制系统、可编程控制器、各类输入/输出接口等组成，用于控制机床实现自动加工。
主控制系统由哪些部分组成，它的作用是什么？,主控制系统主要由CPU、存储器、控制器等组成，其作用是根据所读入的零件程序，通过译码、编译等处理后，进行相应的刀具轨迹插补运算，并通过与各坐标伺服系统的位置、速度反馈信号的比较，从而控制机床各坐标轴的位移。
什么是伺服系统，它在数控系统和机床本体之间的作用是什么？,伺服系统是数控系统和机床本体之间的电传动联系环节，主要由伺服电动机、驱动控制系统和位置检测与反馈装置等组成。它的作用是根据数控系统发出的指令控制机床的运动部件，实现机床的精确定位和精确运动。
什么是伺服电动机在控制系统中的作用？,伺服电动机是系统的执行元件，驱动控制系统是伺服电动机的动力源。
数控系统如何控制伺服电动机工作？,数控系统发出的指令信号与位置反馈信号比较后作为位移指令，经过驱动系统的功率放大后驱动电动机运转，通过机械传动装置带动工作台或刀架运动。
辅助装置包括哪些设备？,辅助装置主要包括自动换刀装置（ATC）、自动交换工作台机构（APC）、工件夹紧放松机构、回转工作台、液压控制系统、润滑装置、切削液装置、排屑装置、过载和保护装置等。
数控机床的本体指什么？,数控机床的本体指其机械结构实体，由主传动系统、进给传动机构、工作台、床身以及立柱等部分组成。
数控机床对床身的刚度和抗震性有何要求？,数控机床具有加工精度高、加工效率高等特点，因此对床身的刚度和抗震性提出了更高的要求，设计要求比普通机床更严格，制造要求更精密。
常用的数控系统有哪些？,常用的数控系统包括日本FANUC公司生产的0M、15M、16M、18M，SIEMENS公司生产的3、8、802、810、840、850，法国NUM公司生产的NUM1020、1040、1060等。
国内的高档数控系统有哪些？,国内的高档数控系统有华中理工大学的HNC（华中1型）、珠峰数控公司的CME988（中华1型）系列、北京航天数控集团的CASNUC911MC（航天I型）及中国科学院沈阳计算所的LT8520/30（蓝天1型）等。
西门子数控系统属于哪个集团？,西门子数控系统属于西门子集团的哪个部门？
什么是SINUMERIK 810D NC软件选件的提前预测功能？,SINUMERIK 810D NC软件选件的提前预测功能可以在集成控制系统上实现快速控制。
SINUMERIK 810D NC软件选件的坐标变换功能有什么作用？,SINUMERIK 810D NC软件选件的坐标变换功能可以用来卡紧工件或定义简单参考点。
什么是模拟量控制？,模拟量控制是指模拟信号输出。
SINUMERIK 810D NC软件选件的刀具管理功能是什么？,刀具管理是SINUMERIK 810D NC软件选件的一种功能强大的管理软件选件。
SINUMERIK 810D NC软件选件的样条插补功能有什么作用？,样条插补功能（A、B、C样条）用来产生平滑过渡。
SINUMERIK 810D NC软件选件的压缩功能有什么作用？,压缩功能用来压缩NC记录。
SINUMERIK 810D NC软件选件的多项式插补功能有什么作用？,多项式插补功能可以提高810D/810DE运行速度。
SINUMERIK 810D NC软件选件的温度补偿功能有什么作用？,温度补偿功能保证数控系统在这种高技术、高速度运行状态下保持正常温度。
定位精度是什么，它包括哪些误差？,定位精度是指数控机床工作台等移动部件在确定的终点所达到的实际位置的精度，因此移动实际位置与理想位置之间的误差称为定位误差。定位误差包括伺服系统、检测系统、进给系统等误差，还包括移动部件导轨的几何误差等。
什么是定位误差，它对零件加工有什么影响？,定位误差是指机床工作台定位时与理论位置之间的偏差，直接影响零件加工的位置精度。
重复定位精度是什么，受哪些因素影响？,重复定位精度是指在同一台数控机床上，应用相同程序相同代码加工一批零件，所得到的连续结果的一致程度。它受伺服系统特性、进给系统的间隙与刚性以及摩擦特性等因素的影响。
分度精度是什么，它对零件加工有什么影响？,分度精度是指分度工作台在分度时，理论要求回转的角度值和实际回转的角度值的差值。它既影响零件加工部位在空间的角度位置，也影响孔系加工的同轴度等。
什么是分辨度，它对测量系统和控制系统有什么影响？,分辨度是指两个相邻的分散细节之间可以分辨的最小间隔，对测量系统而言，分辨度可以测量的最小增量；对控制系统而言，分辨度是可以控制的最小位移增量，即数控装置有发出一个冲信号，反映到机床移动部件上的移动量。
什么是脉冲当量，它对数控机床的精度有什么影响？,脉冲当量是指设计数控机床的原始数据之一，其数值的大小决定数控机床的加工精度和表面质量。脉冲当量越小，数控机床的加工精度和加工表面质量越高。
数控机床的运动性能指标主要包括哪些内容？,数控机床的运动性能指标主要包括主轴转速、进给速度、坐标行程、摆角范围和刀库容量及换刀时间等。
数控机床的主轴一般采用什么类型的电动机驱动？,数控机床的主轴一般均采用直流或交流调速主轴电动机驱动。
如何保证数控机床主轴具有较宽的调速范围和足够的回转精度、刚度及抗振性？,选用高速精密轴承支承，保证主轴具有较宽的调速范围和足够的回转精度、刚度及抗振性。
目前，数控机床主轴转速的普遍范围是多少？,目前，数控机床主轴转速已普遍达到5000～10000c／min，甚至可以高达100000r／min。
数控机床进给速度受哪些因素的限制？,数控机床进给速度受数控装置的运算速度、机床动特性及工艺系统刚度等因素的限制。
数控机床坐标轴X、Y、Z的行程大小反映了什么？,数控机床坐标轴X、Y、Z的行程大小，构成数控机床的空间加工范围，即加工零件的大小，行程是直接体现机床加工能力的指标参数。
摆角坐标的数控机床转角大小对加工零件空间部位的能力有何影响？,摆角坐标的数控机床，其转角大小也直接影响到加工零件空间部位的能力。但转角太大又造成机床的刚度下降，因此选购和设计机床时要综合考虑。
刀库容量和换刀时间对数控机床的生产率有何影响？,刀库容量和换刀时间对数控机床的生产率有直接影响。
什么是伺服系统，它的作用是什么？,伺服系统是数控机床的执行机构，将电力电子器件、控制、驱动及保护等集为一体。它的作用是将数控系统的给定值和通过反馈装置检测的实际运行值进行偏差调节，控制电动机转矩的大小，从而拖动机械运转。
伺服系统的组成包括哪些部分？,伺服系统主要由控制器、功率驱动装置、反馈装置和电动机四部分组成。控制器按照数控系统的给定值和实际运行值调节控制量；功率驱动装置作为系统的主回路，调节电动机转矩的大小并按电动机的要求把恒压恒频的电网供电转换为电动机所需的交流电或直流电；反馈装置检测电动机的实际运行值；电动机则按供电大小拖动机械运转。
伺服系统有哪些分类方式？,伺服系统的分类方式有多种，可以根据驱动电动机的类型分为直流伺服和交流伺服；根据控制器实现方法的不同，可以分为模拟伺服和数字伺服；根据控制器中闭环的多少，可以分为开环控制系统、单环控制系统、双环控制系统和多环控制系统。
进给伺服系统以什么为控制对象，产生什么运动？,进给伺服系统以数控机床的各坐标为控制对象，产生机床的切削进给运动。
进给伺服系统有哪些具体要求？,进给伺服系统要求调速范围宽、位移精度高、稳定性好、动态响应快。
进给伺服系统可根据什么进行细分？,进给伺服系统可根据系统使用的电动机进行细分，包括步进伺服系统、直流伺服系统、交流伺服系统和直线伺服系统。
步进伺服系统是什么？,步进伺服系统是一种用脉冲信号进行控制，并将脉冲信号转换成相应的角位移的控制系统。其角位移与脉冲数成正比，转速与脉冲频率成正比，通过改变脉冲频率可调节电动机的转速。
步进伺服系统具有什么能力？,如果停机后某些绕组仍保持通电状态，则步进伺服系统具有自锁能力。
步进伺服电动机每转一周有多少固定的步数？,步进伺服电动机每转一周都有固定的步数，如500步、1000步、50000步等。
步进伺服系统的缺点是什么？,步进伺服系统的精度差、能耗高、速度低，且其功率越大移动速度越低。
步进伺服系统适用于哪些场合？,步进伺服系统主要用于速度与精度要求不高的经济型数控机床及旧设备改造。
步进伺服系统的发展趋势是什么？,近年发展起来的恒斩波驱动、PWM驱动、微步驱动、超微步驱动和混合伺服技术，使得步进电动机的高、低频特性得到了很大的提高，特别是随着智能超微步驱动技术的发展，将把步进伺服系统的性能提高到一个新的水平。
选择步进电动机时需要注意什么？,选择步进电动机时，必须保证步进电动机的输出转矩大于负载转矩，使电动机的矩频特性有一定裕量，以保证运行可靠。其次，应考虑系统的精度和速度的要求。
什么是电刷与换向片在直流伺服电动机中的作用？,电刷与外加直流电源相接，换向片与电枢导体相接，以使产生的电磁转矩保持恒定的方向，转子能沿固定的方向均匀连续旋转。
直流伺服电动机为什么需要机械换向装置？,从实际运行考虑，直流伺服电动机引入了机械换向装置，以保持电磁转矩恒定的方向，使转子能沿固定的方向均匀连续旋转。
直流伺服电动机有哪些缺点？,直流伺服电动机的成本高、故障多、维护困难，常因碳刷产生的火花而影响生产，并对其他设备产生电磁干扰。同时，机械换向器的换向能力限制了电动机的容量和速度。
水磁无刷电动机是如何形成的？,为了改善换向能力，减小电枢的漏感，将直流电动机做“里翻外”的处理，即把电枢绕组装在定子上，转子为水磁部分，由转子轴上的编码器测出磁极位置，就构成了水磁无刷电动机。
目前在机床进给伺服中采用的交流伺服电动机主要是什么类型？,目前，在机床进给伺服中采用的主要是永磁同步交流伺服系统，有模拟形式、数字形式和软件形式三种类型。
数字伺服可以实现哪些控制？,数字伺服可以实现速度、力矩和位置控制。
数字伺服如何接收指令？,数字伺服可以接收模拟指令和脉冲指令。
数字伺服具有哪些特点？,数字伺服具有稳定性好、自诊断和报警功能丰富等特点。
软件伺服是如何实现伺服电动机的监控程序的？,软件伺服基于微处理器，将各种控制方式和不同规格、功率的伺服电动机的监控程序以软件实现。
交流伺服在机床进给伺服中的地位如何？,交流伺服已占据了机床进给伺服的主导地位。
交流伺服在哪些方面不断完善？,交流伺服在系统功率驱动装置中的电力电子器件、基于微处理器嵌入式平台技术和网络化制造模式推广及现场总线技术等方面不断完善。
开效直线伺服系统采用的驱动方式是什么？,开效直线伺服系统采用的是一种直接驱动方式。
开效直线伺服系统与传统旋转传动方式相比有什么最大特点？,开效直线伺服系统与传统旋转传动方式相比最大特点是取消了电动机到工作台间的一切机械中间传动环节，即把机床进给传动链的长度缩短为零，这种“零传动”方式带来了旋转驱动方式无法达到的性能指标。
开效直线伺服系统在哪些方面优于传统驱动装置？,开效直线伺服系统在加速度和进给速度方面优于传统驱动装置，具体来说，加速度可以达到3g以上，为传统驱动装置的10～20倍，进给速度是传统装置的4～5倍。
直线电动机有哪些工作方式和结构形式？,直线电动机的工作方式有直流、交流、步进、水磁、电磁、同步和异步等多种方式；结构形式有动圈式、动铁式、平板型和圆筒型等形式。
在数控机床上应用的主要直线电动机类型有哪些？,在数控机床上应用的主要直线电动机类型有高精度高频响小行程直线电动机与大推力长行程高精度直线电动机两类。
直线伺服在高速高精数控机床中扮演什么角色？,直线伺服是高速高精数控机床的理想驱动模式，受到机床厂家的重视，技术发展迅速。
直线电动机驱动的高速机床在2001年欧洲机床展上的表现如何？,在2001年欧洲机床展上，有几十家公司展出直线电动机驱动的高速机床，快移速度达100～120m/min，加速度1.5～2g。
DMG公司和MAZAK公司在直线电动机驱动的高速机床上的表现如何？,DMG公司已有28种机型采用直线电动机驱动，年产1500多台，约占总产量的1/3。MAZAK公司最近也将推出基于直线伺服系统的超音速加工中心。
数控系统中的检测装置有哪些分类？,数控系统中的检测装置分为位移、速度和电流三种类型，按安装的位置及耦合方式分为直接测量和间接测量；按测量方式分为增量式和绝对式；按检测信号的类型分为模拟式和数字式；按运动方式分为回转式和直线式检测装置；按信号转换原理可分为光电效应、光栅效应、电磁效应、压电效应、电阻效应和磁阻效应等检测装置。
什么是位置检测装置，它在数控机床中的作用是什么？,位置检测装置是数控机床伺服系统的重要组成部分，主要用于检测长度、角度、位移，并发出反馈信号，构成闭环（半闭环）控制。其作用是检测位移量并将测量的反馈信号和数控装置发出的指令信号相比较，若有偏差，经放大后控制执行部件，使其向着消除偏差的方向运动，直到偏差为零。
光栅是什么，它有什么优点？,光栅是利用光的透射、衍射现象进行工作的光学元件。光栅检测装置应用较多，其测量精度可达±1μm，具有精度高、响应速度快、量程宽等优点。光栅有直线光栅和圆光栅，分别用来测直线位移和角位移。
光栅装置由哪些部分组成，它们是如何工作的？,光栅装置由标尺光栅和指示光栅组成，在标尺光栅和指示光栅上都有密度相同的许多刻线，称为光栅条纹。光线由两刻线之间窄面透射（或反射回来），把指示光栅平行放在标尺光栅侧面，并使它们的刻线相对倾斜一个很小角度θ，光源放在标尺光栅另一侧面（以透射光栅为例）。
什么是莫尔条纹，它们是如何产生的？,莫尔条纹是当光线通过光栅时，在指示光棚上产生的明暗相间的条纹。莫尔条纹是由于光栅的刻线与指示光棚的刻线之间的相对角度产生的。
莫尔条纹间距与刻线间距的关系是什么？,莫尔条纹间距W与刻线间距P以及两尺间相对倾斜角θ的关系式为：W = P / sinθ。
莫尔条纹具有什么特性？,莫尔条纹具有放大效应，可以将两尺刻线间距放大到很大的数值。例如，如果P = 0.01mm，θ = 0.001，则W = 10mm，相当于把两尺刻线间距放大了1000倍。
光电元件在测量中起到什么作用？,光电元件与指示光栅一起移动。当移动时，光电元件接收光线受莫尔条纹影响呈正弦规律变化，因此光电元件产生按正弦规律变化的电流（电压）。通过分析测得的电流或电压的变化规律可以测量移动部件的位移、速度及移动方向。
旋转变压器是什么，它在数控机床中有什么应用？,旋转变压器是一种角位移检测元件，常用于数控机床中。它是一种控制用的小型交流电机，结构和两相绕线式异步电动机的结构相似，可分为定子和转子两大部分。旋转变压器的信号输出幅值大，抗干扰性强，工作可靠，但测量精度稍低，一般用于普通精度的测量机构中。
定子和转子的铁芯由什么材料制成的？,定子和转子的铁芯由高导磁的铁镍软磁合金或硅钢片薄板冲成的槽状习片叠成。
旋转变压器有哪两种结构形式？,旋转变压器分为有刷式和无刷式两种结构形式。
有刷式旋转变压器的定子和转子绕组各是什么类型的？,有刷式旋转变压器的定子与转子上均为两相交流分布绕组。
无刷式旋转变压器的分解器定子绕组连接什么？,无刷式旋转变压器的分解器定子绕组接外加的励磁电压。
无刷式旋转变压器的转子线圈输出信号连接到哪里？,无刷式旋转变压器的转子线圈输出信号接在变压器一次绕组。
旋转变压器的输出信号从哪里引出？,从变压器的二次绕组引出最后的输出信号。
无刷旋转变压器具有哪些特点？,无刷旋转变压器具有可靠性高、寿命长、不用维修以及输出信号大等特点。
旋转变压器又称为什么？,旋转变压器又称同步分解器。
旋转变压器的工作原理是什么？,当励磁电压加到定子绕组时，由于电磁效应，转子绕组必然会产生感应电压。当转子运转时，转子绕组的感应电压精确地按照转子转过的角位移量呈正弦（或余弦）规律变化，其频率与励磁电压的频率相同。
什么是旋转变压器，它在数控机床伺服系统中的作用是什么？,旋转变压器是一种测量进给丝杠转角的元件，从而间接测量工作台的直线位移。
脉冲编码器是一种什么元件，它的工作原理是什么？,脉冲编码器是一种光学式位置检测元件，编码盘直接装在转轴上，以测出轴的旋转角度位置和速度变化。其输出信号为电脉冲，非接触式检测，无摩擦和磨损，驱动力小，响应速度快。
增量式编码器的工作原理是什么？,增量式编码器的工作原理如图2.12所示。透射圆盘为等节距的辐射状透光窄缝圆，光源照射下，在光电元件上得到信号经放大器放大与整形后，得输出方波。A相比B相超前90°，用于判别编码器的旋转方向。C相产生的脉冲为基准脉冲，用于高速旋转的转数计数或加工中心等数控机床的主轴准停信号。
什么是速度反馈信号，如何获得？,速度反馈信号是与转轴转速成正比例的电压信号，由A、B相脉冲信号经频率电压变换获得。
什么是编码器在数控机床伺服电动机上的应用位置的示意图？,图2.15为编码器在数控机床伺服电动机上的应用位置。
数控铣床可以进行哪些加工？,数控铣床可以加工各种具有平面轮廓和立体曲面的零件，还可以进行钻、扩、铰、镗孔和攻螺纹等加工。
数控铣床分为哪两种类型？,数控铣床分为立式数控铣床和卧式数控铣床两种。
三轴联动的数控铣床应用最广泛的原因是什么？,三轴联动的数控铣床应用最广泛的原因是它可以满足大多数加工需求，并且相对四轴联动和五轴联动的数控铣床来说，成本更低。
面铁刀适用于加工哪种类型的平面？,面铁刀适用于加工大而积平面。
硬质合金面铣刀相比高速钢铁刀有哪些优点？,硬质合金面铣刀相比高速钢铁刀具有铣制速度较高、加工效率高、加工表面质量较好，并可加工带有硬皮和硬层的工件等优点。
可转位式面铣刀相较于整体焊接式和机夹一焊接式面铣刀有哪些优点？,可转位式面铣刀在提高产品质量及加工效率、降低成本、操作使用方便性等方面都具有明显的优越性。
面铣刀可以用于哪些加工过程？,面铣刀可以用于粗加工和精加工。
如何选择面铣刀的直径？,粗加工宜选较小的铣刀直径，精加工的铣刀直径要选大些，最好能包容加工面的整个宽度。
面铣刀的齿数对面铣削有何影响？,面铣刀的齿数对铣削生产率和加工质量有直接影响，齿数越多，同时工作齿数也多，生产率高，铣削过程平稳，加工质量好。
根据齿数的不同，直径相同的可转位铣刀可分为哪几种？,根据齿数不同，直径相同的可转位铣刀可分为粗齿、细齿、密齿三种。
立铣刀分为哪两种？,立铣刀分为高速钢立铣刀和硬质合金立铣刀两种。
立铣刀主要用于加工什么？,立铣刀主要用于加工沟槽、台阶面、平面和二维曲面（例如平面凸轮的轮廓）。
通常如何表示立铣刀的名称？,习惯上用直径表示立铣刀名称，例如：015，表示直径为615的立铣刀。
立铣刀的刀齿通常由多少个组成？,立铣刀通常由3～6个刀齿组成。
立铣刀的主切削刃和副切削刃分别分布在哪个面上？,每个刀齿的主切削刃分布在圆柱面上，呈螺旋线形；刀齿的副切削刃分布在端面上，用来加工与侧面垂直的底平面。
立铣刀的螺旋角一般在什么范围内？,立铣刀的螺旋角为30°～45°之间。
立铣刀根据刀数目分为哪几种？,立铣刀根据其刀数目，分为粗立铣刀、中齿立铣刀和细齿立铣刀。
直径小于等于063mm的立铣刀有哪些柄型？,直径小于等于063mm的立铣刀有直柄（Φ2～071mm 立铣刀）和莫氏锥（06～063mm立铁刀）两种柄型。
直径大于040～060mm的立铣刀可以做成什么结构？,直径大于040～060mm的立铣刀可做成套式结构。
股合金转位螺旋齿可换头立铣刀的特点是什么？,股合金转位螺旋齿可换头立铣刀采用模块式结构，一个立铣刀刀柄可安装四个不同的可换刀头，成为四种不同的立铣刀。可换刀头断报后，仅更换可换刀头，即可重新使用，降低了刀具成本，提高了生产率。
什么是键槽铣刀，它有什么功能？,键槽铣刀有两个刀齿，圆柱面上和端面上都有切削刃，兼有钻头和立铣刀的功能。端面刃延至圆中心，使立铣刀可以沿其轴向钻孔，切出键槽深；又可以像立铣刀，用圆柱面上的刀刃铣削出键槽长度。
模具铣刀的直径范围是多少，主要用于什么？,模具铣刀是由立铣刀发展而成的，其直径在4～63mm范围内。主要用于加工三维的模具型腔或凸凹模型表面。
模具铣刀有哪些类型，分别是什么？,模具铣刀通常有以下三种类型：
模具铣刀的工作部分用什么制造，硬质合金模具铣刀的结构如何？,模具铣刀的工作部分用高速钢或硬质合金制造，硬质合金模具铣刀如图3.7所示。小尺寸的硬质合金模其铣刀制成整体结构：6以上直径的，可制成焊接结构或可转位刀片形式。
